start_filetime,activation_ins_trill,activation_mech_plane,activation_ambient_rain,activation_ins_buzz
0,-1.8,-2,-1.5,-1.8
0.96,-2.5,-2.5,-2.2,-2.1
1.92,-2.4,-2.4,-2.3,-1.9
2.88,-1.8,-2.3,-1.7,-2.2
3.84,-1.9,-2.1,-1.7,-2
4.8,-2.7,-2.5,-2.5,-2.2
5.76,-2.2,-2.5,-2.2,-2.5
6.72,-2,-2,-1.9,-2.1
7.68,-2.5,-2.3,-2.3,-2.3
8.64,-2.3,-2.6,-2.5,-2.5
9.6,-1.8,-2.2,-1.7,-2.1
10.56,-2.4,-2.3,-2.2,-2.6
11.52,-2.1,-2.3,-1.8,-2.1
12.48,-2.2,-2.1,-1.9,-2.1
13.44,-2.5,-2.5,-2.4,-2.5
14.4,-1.6,-1.8,-1.6,-1.7
15.36,-2,-2.1,-2,-2.2
16.32,-1.7,-1.9,-1.6,-1.7
17.28,-1.6,-1.8,-1.7,-1.6
18.24,-1.6,-1.9,-1.5,-1.7
19.2,-1.2,-1.3,-1.1,-1.3
20.16,-1.5,-2,-1.9,-1.7
21.12,-1.8,-1.9,-1.5,-1.8
22.08,-1.5,-1.8,-1.5,-1.6
23.04,-2.2,-2.5,-2.3,-2.5
24,-2.2,-2.2,-1.9,-2.1
24.96,-1.6,-1.7,-1.3,-1.6
25.92,-1.6,-1.9,-1.5,-1.8
26.88,-1.6,-2,-1.6,-1.7
27.84,-1.9,-2.3,-1.8,-2.1
28.8,-2.3,-2.1,-2,-2.2
29.76,-2.2,-2.3,-2,-2.2
30.72,-1.6,-1.7,-1.7,-1.7
31.68,-2.2,-2,-2,-2.1
32.64,-2.1,-2.2,-2.1,-2.4
33.6,-2,-2.4,-2,-2.3
34.56,-2.5,-2.1,-2.1,-2.3
35.52,-1.6,-1.8,-1.5,-1.7
36.48,-1.5,-2.3,-1.7,-2
37.44,-2.1,-2.4,-1.9,-2.1
38.4,-2.4,-2.5,-2.4,-2.5
39.36,-1.8,-1.9,-1.6,-1.8
40.32,-1.4,-1.9,-1.4,-1.7
41.28,-1.5,-1.8,-1.6,-1.6
42.24,-1.4,-1.4,-1.3,-1.3
43.2,-1.8,-1.8,-1.6,-1.6
44.16,-1.4,-1.4,-1.4,-1.5
45.12,-1.3,-1.4,-1.2,-1.4
46.08,-1.3,-1.3,-1.1,-1.3
47.04,-1.8,-2.1,-1.9,-1.7
48,-1.5,-2.1,-1.3,-1.7
48.96,-1.7,-1.7,-1.4,-1.6
49.92,-1.6,-1.5,-1.7,-1.4
