start_filetime,activation_ins_trill,activation_mech_plane,activation_ambient_rain,activation_ins_buzz
0,-2.2,-2.5,-2.3,-2
0.96,-2.3,-2.7,-2.4,-2.1
1.92,-1.5,-2,-1.3,-1.7
2.88,-1.7,-2,-2.1,-2.2
3.84,-2.3,-2.1,-2.4,-2.3
4.8,-1.4,-1.9,-1.6,-1.6
5.76,-1.7,-2.2,-1.7,-1.8
6.72,-1.4,-2,-1.4,-1.6
7.68,-1.9,-2.2,-2,-1.9
8.64,-1.5,-1.8,-1.3,-1.6
9.6,-1.5,-2,-1.5,-1.6
10.56,-1.6,-1.9,-1.6,-1.8
11.52,-1.5,-1.7,-1.5,-1.5
12.48,-1.3,-1.7,-1.3,-1.4
13.44,-1.4,-2,-1.9,-1.6
14.4,-1.7,-2,-1.6,-1.5
15.36,-1.7,-1.9,-1.4,-1.7
16.32,-1.5,-1.9,-1.2,-1.7
17.28,-1.4,-1.6,-1.3,-1.3
18.24,-1.4,-1.5,-1.3,-1.3
19.2,-1.6,-2.5,-2.2,-1.9
20.16,-2.4,-2.7,-2.7,-2.1
21.12,-1.6,-2.1,-2,-1.9
22.08,-1.6,-2,-2,-2
23.04,-2.8,-3.5,-3.1,-2.6
24,-2,-2.2,-2.4,-2.3
24.96,-1.7,-2.4,-2,-2.1
25.92,-2.3,-2.9,-2.8,-2.5
26.88,-2.6,-2.9,-2.7,-2.3
27.84,-2.4,-2.7,-2.8,-2.3
28.8,-1.6,-2.1,-1.6,-1.8
29.76,-2.7,-3,-2.8,-2.6
30.72,-2.2,-2.5,-2.7,-2.4
31.68,-1.9,-2.5,-2.3,-2.4
32.64,-2.1,-2,-2.1,-2.1
33.6,-1.4,-2,-1.4,-1.5
34.56,-2.1,-2.4,-2.4,-2.3
35.52,-2.1,-3,-2.6,-2.1
36.48,-2.1,-2.9,-2.7,-2.5
37.44,-1.7,-2.2,-2.3,-2.3
38.4,-1.8,-2.1,-2.1,-2
39.36,-1.9,-2.3,-2.4,-1.7
40.32,-2.3,-3.1,-2.9,-2.5
41.28,-2,-2.3,-2.3,-2
42.24,-2.2,-2.5,-2.2,-2.2
43.2,-1.5,-2.2,-2,-1.9
