"start","activation_ins_buzz","activation_ambient_rain","activation_ins_trill","activation_mech_plane"
130.56,-1.4,-1.6,-1.7,-1.9
131.52,-1.3,-1.5,-1.4,-1.7
132.48,-1.4,-1.9,-1.8,-2
133.44,-1.3,-1.6,-2,-1.8
134.4,-1.4,-2.2,-2.4,-2
135.36,-1.2,-1.9,-1.9,-1.8
136.32,-1.4,-1.8,-1.8,-1.8
137.28,-1.5,-1.8,-1.7,-2
138.24,-1.9,-2.5,-2.4,-2.4
139.2,-1.5,-1.5,-1.4,-1.9
140.16,-1.8,-1.4,-1.5,-2.1
141.12,-1.5,-1.6,-1.8,-2.1
142.08,-2,-2.4,-2.5,-2.6
143.04,-1.6,-1.9,-1.8,-2
144,-1.6,-1.8,-2,-2.4
144.96,-1.5,-1.3,-1.4,-1.9
145.92,-1.2,-1.7,-2.1,-2
146.88,-1.8,-1.8,-1.6,-2.3
147.84,-1.6,-1.6,-1.8,-2.3
148.8,-1.5,-1.5,-1.7,-1.8
149.76,-1.7,-2.2,-2.6,-2.4
150.72,-1.5,-2,-2.1,-1.7
151.68,-1.5,-1.9,-1.9,-2
152.64,-1.8,-1.6,-1.6,-2.1
153.6,-1.4,-1.7,-2,-2.1
154.56,-1.7,-1.6,-1.6,-2
155.52,-1.6,-1.6,-1.7,-2.1
156.48,-2.1,-1.6,-1.9,-2.7
157.44,-1.4,-1.4,-1.7,-1.9
158.4,-2.1,-2,-1.7,-2.4
159.36,-1.5,-1.9,-2,-2.1
160.32,-1.8,-1.9,-2,-2.3
161.28,-1.8,-1.8,-1.9,-2.3
162.24,-1.5,-2.1,-1.9,-2.1
163.2,-2,-2.1,-2,-2.2
164.16,-2.2,-1.7,-2.1,-2.4
165.12,-2.1,-2.4,-2.4,-2.6
166.08,-1.5,-1.8,-1.8,-1.9
167.04,-1.4,-1.5,-1.6,-1.9
168,-1.4,-1.9,-2.1,-2
168.96,-1.4,-2.1,-2.2,-1.9
169.92,-2.1,-2,-2.6,-3.1
170.88,-2.1,-2.3,-2.4,-2.4
171.84,-2.2,-2.3,-2.5,-3.2
172.8,-2,-2.2,-2.4,-3
173.76,-2.2,-2.6,-3.1,-3.6
174.72,-2,-2.1,-1.9,-2.5
175.68,-1.7,-2,-2,-2.5
176.64,-1.7,-2,-1.8,-2.3
177.6,-2.2,-2.3,-2.6,-3.2
178.56,-2,-2.1,-2.3,-2.7
179.52,-2,-1.9,-1.8,-2.3
180.48,-2.1,-1.8,-2.1,-2.5
181.44,-2,-2.1,-2.1,-2.5
182.4,-2.2,-2.4,-2.7,-2.6
183.36,-1.5,-1.5,-1.8,-2
184.32,-1.4,-1.4,-1.7,-1.7
185.28,-1.9,-1.6,-1.8,-2.4
186.24,-1.9,-1.7,-2.1,-2.1
187.2,-1.6,-2,-2,-2.3
188.16,-1.8,-1.7,-2,-2.4
189.12,-1.7,-1.7,-1.8,-2.2
190.08,-1.9,-1.7,-1.7,-2.2
191.04,-1.8,-2.1,-2,-2.4
192,-2.2,-2.7,-2.8,-3.2
192.96,-1.8,-1.6,-1.8,-2.3
193.92,-1.8,-1.9,-2.1,-2.5
194.88,-2.3,-1.4,-2.1,-2.6
195.84,-2.3,-2.2,-2.4,-2.6
196.8,-1.8,-1.7,-2,-2.5
197.76,-1.8,-1.9,-1.6,-2.2
198.72,-1.9,-1.9,-2.1,-2.2
199.68,-1.6,-1.7,-1.7,-2.1
200.64,-1.4,-1.2,-1.5,-1.9
201.6,-1.5,-1.6,-1.5,-1.9
202.56,-1.8,-1.7,-1.6,-2.2
203.52,-1.8,-1.8,-1.6,-2.4
204.48,-2.1,-2.1,-1.9,-2.4
205.44,-2.1,-1.9,-1.9,-2.6
206.4,-2.1,-1.9,-2.1,-2.5
207.36,-1.6,-1.6,-1.7,-2.2
208.32,-2,-1.8,-2.1,-2.7
209.28,-1.5,-1.5,-1.8,-2.2
