start_filetime,activation_ins_trill,activation_mech_plane,activation_ambient_rain,activation_ins_buzz
0,-1.8,-2,-1.4,-1.8
0.96,-1.8,-2,-1.7,-1.4
1.92,-1.6,-1.6,-1.5,-1.4
2.88,-1.4,-1.7,-1.3,-1.4
3.84,-1.6,-2.2,-1.9,-1.7
4.8,-2.9,-3.2,-3.3,-2.7
5.76,-2.1,-2.3,-1.7,-1.5
6.72,-1.7,-1.9,-1.5,-1.4
7.68,-2.1,-2.1,-1.9,-2.1
8.64,-1.6,-1.9,-1.2,-1.4
9.6,-2,-1.9,-1.5,-1.8
10.56,-1.8,-2,-1.3,-1.7
11.52,-1.8,-2.1,-1.3,-1.5
12.48,-1.7,-2,-1.1,-1.3
13.44,-1.9,-1.9,-1.6,-1.5
14.4,-1.7,-1.9,-1.6,-1.4
15.36,-1.7,-1.7,-1.5,-1.6
16.32,-2,-2.1,-1.8,-1.9
17.28,-2.5,-2.6,-2.2,-2.1
18.24,-2.3,-2.5,-2.3,-2
19.2,-2.3,-2.8,-2.4,-2
20.16,-2.6,-2.5,-2.1,-1.8
21.12,-2,-1.9,-1.6,-1.2
22.08,-2.9,-3.1,-1.7,-2.2
23.04,-1.8,-2.1,-1.5,-1.8
24,-2.4,-2.6,-1.8,-1.7
24.96,-2.2,-2.3,-1.8,-1.8
25.92,-2.3,-2.3,-1.4,-2.3
26.88,-1.8,-2,-1.4,-1.5
27.84,-1.6,-1.8,-1.4,-1.5
28.8,-1.7,-1.9,-1.7,-1.6
29.76,-2,-2.1,-1.9,-1.8
30.72,-1.5,-1.8,-1.5,-1.5
31.68,-2.2,-2.2,-1.9,-1.7
32.64,-1.7,-1.8,-1.7,-1.4
33.6,-2.1,-2,-1.4,-1.6
34.56,-1.6,-1.9,-1.3,-1.3
35.52,-2.5,-2.5,-1.9,-2.1
36.48,-1.8,-2,-1.8,-1.5
37.44,-1.8,-1.9,-1.9,-1.4
38.4,-1.4,-1.8,-2.2,-0.8
39.36,-2,-2.5,-1.7,-1.5
40.32,-1.4,-1.9,-1,-1.3
41.28,-2.1,-2.4,-1.6,-1.8
42.24,-3,-3.1,-1.9,-2.3
43.2,-2.5,-2.5,-2,-2.4
44.16,-2.2,-2.3,-1.7,-1.7
45.12,-1.7,-1.6,-1.4,-1.6
46.08,-3.1,-3,-2.2,-1.9
47.04,-2,-2.1,-1.6,-1.7
48,-2.6,-2.4,-2.2,-2.1
48.96,-2,-1.8,-1.9,-1.6
49.92,-1.7,-1.8,-1.6,-1.6
50.88,-1.9,-1.9,-1.6,-1.6
51.84,-1.7,-1.7,-1.3,-1.4
52.8,-1.5,-1.6,-1.2,-1.4
53.76,-2,-1.9,-2,-1.8
54.72,-2.3,-2.4,-2.1,-2.1
55.68,-1.6,-1.8,-1.4,-1.5
56.64,-1.6,-1.7,-1.4,-1.5
57.6,-1.5,-1.8,-1.5,-1.5
58.56,-1.6,-1.8,-1.4,-1.6
59.52,-2.2,-2.5,-1.4,-1.7
60.48,-2.1,-2,-1.7,-1.4
61.44,-2.3,-2.2,-1.3,-1.8
62.4,-1.4,-1.6,-1.2,-1.4
63.36,-1.6,-1.8,-1.7,-1.3
64.32,-2,-2.3,-1.3,-1.5
65.28,-1.8,-2.5,-1.2,-1.8
66.24,-2,-2.1,-1.6,-1.4
67.2,-1.8,-2.1,-1.4,-1.7
68.16,-1.5,-1.7,-1.3,-1.1
69.12,-2,-2.1,-1.7,-1.5
70.08,-1.8,-2,-1.2,-1.7
71.04,-1.6,-1.9,-1.3,-1.3
72,-1.8,-2,-1.4,-1.8
72.96,-2.3,-2.6,-2.2,-2.2
73.92,-2.1,-2.1,-2,-1.9
74.88,-1.9,-1.9,-1.7,-1.6
75.84,-2.1,-2.5,-1.9,-1.9
76.8,-2,-2.1,-1.5,-1.8
77.76,-2.1,-2.4,-1.9,-1.7
78.72,-1.9,-2,-1.3,-1.6
79.68,-1.9,-2,-1.6,-1.6
80.64,-1.9,-2.2,-1.4,-1.8
81.6,-2,-2.1,-1.9,-1.8
82.56,-1.7,-2.2,-1.3,-1.4
83.52,-1.9,-2,-1.7,-1.8
84.48,-1.7,-2.1,-1.5,-1.6
85.44,-1.4,-1.7,-1.2,-1.4
86.4,-1.9,-2,-1.7,-1.5
87.36,-1.9,-2.2,-1.3,-1.5
88.32,-1.6,-1.9,-1.5,-1.4
89.28,-1.6,-1.8,-1.2,-1.4
90.24,-1.8,-1.8,-1.7,-1.5
91.2,-1.8,-1.7,-1.8,-1.6
92.16,-1.8,-1.9,-1.8,-1.8
93.12,-1.7,-2,-1.7,-1.7
94.08,-1.9,-2.2,-1.6,-1.7
95.04,-1.9,-1.9,-1.8,-1.6
96,-1.7,-1.9,-1.9,-1.6
96.96,-2,-2,-1.4,-1.6
97.92,-1.7,-1.7,-1.6,-1.4
98.88,-1.8,-2,-1.8,-1.4
99.84,-1.7,-1.5,-1.5,-1.6
100.8,-1.9,-1.8,-1.9,-1.6
101.76,-2.9,-2.7,-3.1,-2.8
102.72,-1.6,-1.7,-1.5,-1.3
103.68,-2.7,-3.2,-2.5,-2
104.64,-2.8,-3.8,-2.7,-2.2
105.6,-2.2,-2.1,-1.5,-1.9
106.56,-2.5,-3.5,-2.7,-2.6
107.52,-2.9,-3,-3,-3
108.48,-1.7,-2,-1.4,-1.6
109.44,-2,-2.2,-1.9,-2
110.4,-2.4,-2.5,-2.1,-2.1
111.36,-2.3,-2.4,-2.1,-1.8
112.32,-2,-2.1,-1.2,-1.9
113.28,-1.7,-2.1,-1.7,-1.6
114.24,-2.1,-2.1,-2,-1.9
115.2,-1.8,-1.9,-1.6,-1.6
116.16,-2.1,-2.3,-2,-1.8
117.12,-1.6,-2.1,-1.7,-1.6
118.08,-1.8,-2,-1.7,-1.7
119.04,-1.7,-2.1,-1.7,-1.7
120,-1.7,-2.1,-2.1,-1.9
120.96,-1.8,-2.2,-1.6,-2
121.92,-1.6,-1.7,-1.5,-1.5
122.88,-2,-2.1,-1.6,-1.9
123.84,-1.8,-2.1,-1.4,-1.7
124.8,-1.8,-1.9,-1.6,-1.4
125.76,-1.9,-2.4,-2,-2.4
126.72,-2,-2.2,-1.2,-1.8
127.68,-2.2,-1.9,-1.6,-1.8
128.64,-1.8,-2.3,-1.7,-1.8
129.6,-2.2,-2.3,-2.3,-2.4
130.56,-1.9,-1.8,-1.2,-1.6
131.52,-1.7,-1.8,-1.4,-1.6
132.48,-1.7,-1.8,-1.5,-1.6
133.44,-1.6,-1.7,-1.3,-1.5
134.4,-1.5,-1.7,-1.4,-1.4
135.36,-1.7,-1.8,-1.9,-1.6
136.32,-1.6,-1.9,-1.3,-1.6
137.28,-1.8,-1.9,-1.6,-1.6
138.24,-1.8,-2.3,-1.8,-2
139.2,-1.7,-1.9,-1.6,-1.6
140.16,-1.7,-1.9,-1.4,-1.5
141.12,-1.8,-1.8,-1.7,-1.8
142.08,-1.6,-1.7,-1.6,-1.7
143.04,-1.5,-1.6,-1.4,-1.4
144,-1.9,-1.8,-1.4,-1.7
144.96,-1.8,-2.3,-1.7,-1.9
145.92,-2,-2.2,-1.6,-1.8
146.88,-1.9,-1.7,-1.8,-1.4
147.84,-1.9,-1.9,-1.6,-1.6
148.8,-1.5,-1.7,-1.2,-1.5
149.76,-1.6,-1.9,-1.4,-1.6
150.72,-1.9,-1.8,-1.8,-1.5
151.68,-2,-1.9,-1.8,-1.7
152.64,-1.6,-2,-1.5,-1.6
153.6,-1.8,-1.9,-1.9,-1.7
154.56,-1.8,-2.1,-1.6,-1.8
155.52,-1.5,-1.8,-1.3,-1.6
156.48,-1.8,-2,-1.7,-1.6
157.44,-1.7,-2,-1.7,-1.7
158.4,-2.6,-2.5,-2.3,-1.5
159.36,-1.7,-1.8,-1.8,-1.4
160.32,-2.1,-2.3,-1.9,-2.2
161.28,-1.8,-2,-1.3,-1.5
162.24,-1.7,-2,-1.5,-1.6
163.2,-1.6,-2,-1.6,-1.7
164.16,-2.3,-2.5,-1.9,-2
165.12,-1.8,-2,-1.3,-1.6
166.08,-1.7,-1.8,-1.5,-1.7
167.04,-2.3,-2.5,-2.1,-2.3
168,-1.8,-1.8,-1.7,-1.5
168.96,-2.2,-2.2,-2.2,-2
169.92,-1.7,-1.8,-1.4,-1.4
170.88,-1.6,-1.7,-1.6,-1.5
171.84,-1.9,-2,-2.2,-1.4
172.8,-1.8,-2.4,-1.9,-1.5
173.76,-1.8,-2.2,-1.7,-1.5
174.72,-1.9,-2.2,-1.5,-1.8
175.68,-1.8,-2.2,-1.8,-1.9
176.64,-1.6,-1.8,-1.3,-1.6
177.6,-1.7,-1.7,-1.8,-1.5
178.56,-1.6,-1.7,-1.6,-1.4
179.52,-1.8,-1.9,-1.8,-1.7
180.48,-4.3,-5.3,-4.9,0.1
181.44,-2,-3,-2.5,-1.2
182.4,-1.9,-2.4,-1.8,-1.8
183.36,-1.9,-2.2,-2,-1.8
184.32,-1.5,-1.8,-1.7,-1.8
185.28,-1.8,-1.8,-1.7,-1.6
186.24,-1.7,-2.3,-1.8,-1.8
