start_filetime,activation_ins_trill,activation_mech_plane,activation_ambient_rain,activation_ins_buzz
0,-1.7,-1.7,-1.4,-1.5
0.96,-1.5,-1.8,-1.5,-1.6
1.92,-1.8,-2.3,-1.8,-2
2.88,-1.7,-1.8,-1.5,-1.7
3.84,-1.6,-1.7,-1.5,-1.5
4.8,-1.5,-1.8,-1.8,-1.7
5.76,-1.7,-1.9,-1.8,-1.6
6.72,-1.7,-1.8,-1.6,-1.6
7.68,-1.8,-1.9,-1.9,-1.9
8.64,-1.6,-1.8,-1.5,-1.7
9.6,-1.8,-1.9,-1.5,-1.6
10.56,-1.6,-1.8,-1.4,-1.6
11.52,-2.2,-2.5,-2.4,-2
12.48,-2,-2.3,-2.2,-2.1
13.44,-1.4,-2.3,-2.2,-1.8
14.4,-1.5,-2,-1.5,-1.6
15.36,-1.6,-1.8,-1.6,-1.5
16.32,-2.1,-3.1,-2.6,-2.2
17.28,-2.5,-3.3,-2.8,-2.5
18.24,-2.4,-2.4,-2.1,-2.3
19.2,-1.6,-1.7,-1.5,-1.6
20.16,-2.2,-2.1,-2.2,-2
21.12,-2.6,-2.7,-2.6,-2.2
22.08,-1.6,-1.8,-1.9,-2
23.04,-1.8,-2,-1.6,-1.9
24,-2.3,-2,-2.1,-2.1
24.96,-2.2,-2.6,-2.5,-2.2
25.92,-2.4,-2.8,-2.8,-2.4
26.88,-1.9,-2.2,-2,-1.8
27.84,-1.7,-1.8,-1.6,-1.6
28.8,-2,-2.1,-2.1,-1.9
29.76,-1.8,-1.9,-1.6,-1.6
30.72,-1.5,-2,-1.5,-1.9
31.68,-2.1,-2.9,-2.6,-2.7
32.64,-2.1,-3,-2.8,-2.7
33.6,-2.5,-3,-2.9,-2.8
34.56,-2.3,-2.7,-2.5,-2.2
35.52,-2.4,-2.7,-2.5,-1.9
36.48,-1.8,-2.3,-1.7,-1.8
37.44,-1.3,-1.7,-1.2,-1.5
38.4,-1.6,-1.9,-1.7,-1.6
39.36,-1.9,-1.8,-1.8,-1.5
40.32,-1.4,-1.4,-1.4,-1.4
41.28,-2,-2.3,-2.1,-2.1
42.24,-1.9,-2.1,-2,-1.8
43.2,-1.6,-1.6,-1.2,-1.4
44.16,-2.7,-3.6,-2.7,-0.4
45.12,-2,-2.5,-2.2,-1.3
46.08,-2.5,-2.5,-2.2,-1.7
47.04,-1.5,-1.5,-1.4,-1.2
48,-1.8,-2.3,-1.8,-1.8
48.96,-2.1,-2.6,-2.2,-1.9
49.92,-1.8,-2.4,-2,-2.1
50.88,-1.6,-1.8,-1.3,-1.5
51.84,-1.9,-2.2,-2.1,-1.9
52.8,-1.6,-1.8,-1.5,-1.5
