start_filetime,activation_ins_trill,activation_mech_plane,activation_ambient_rain,activation_ins_buzz
0,-1.7,-2,-1.8,-1.5
0.96,-1.6,-2.3,-2,-2.1
1.92,-1.4,-1.6,-1.3,-1.4
2.88,-1.4,-1.9,-1.4,-1.6
3.84,-1.4,-1.7,-1.4,-1.3
4.8,-1.8,-1.8,-1.6,-1.5
5.76,-1.5,-1.7,-1.3,-1.5
6.72,-1.6,-1.8,-1.7,-1.4
7.68,-1.7,-2.2,-1.8,-1.8
8.64,-1.5,-1.7,-1.5,-1.4
9.6,-1.7,-2.1,-2.1,-2
10.56,-1.6,-1.8,-1.7,-1.5
11.52,-1.4,-1.8,-1.5,-1.6
12.48,-1.6,-1.8,-1.4,-1.5
13.44,-1.5,-1.9,-1.9,-1.5
14.4,-1.5,-2.3,-1.5,-1.9
15.36,-1.4,-1.7,-1.4,-1.5
16.32,-1.3,-1.7,-1.5,-1.5
17.28,-1.4,-1.7,-1.4,-1.4
18.24,-1.6,-1.9,-1.7,-1.7
19.2,-2,-2.1,-2.1,-1.6
20.16,-1.5,-1.9,-1.6,-1.5
21.12,-1.6,-1.9,-2,-1.4
22.08,-1.4,-2,-1.9,-1.6
23.04,-1.6,-1.7,-1.8,-1.6
24,-1.5,-2.1,-1.8,-1.6
24.96,-1.9,-2.2,-2,-1.7
25.92,-1.6,-2,-1.4,-1.3
26.88,-1.6,-1.9,-1.7,-1.7
27.84,-1.7,-1.6,-1.6,-1.4
28.8,-2,-2,-2.1,-2
29.76,-1.6,-2,-1.6,-1.8
30.72,-2.4,-2.7,-2.5,-2.4
31.68,-2.5,-2.8,-2.8,-2.5
32.64,-1.9,-2.1,-1.9,-1.8
33.6,-1.6,-1.7,-1.4,-1.4
34.56,-1.8,-2,-1.7,-1.8
35.52,-1.8,-2,-1.8,-1.7
36.48,-1.8,-2,-1.8,-1.7
37.44,-1.5,-1.9,-1.7,-1.7
38.4,-1.9,-2,-1.6,-1.5
39.36,-1.8,-1.8,-1.4,-1.5
40.32,-1.5,-1.6,-1.4,-1.4
41.28,-1.7,-2,-1.9,-1.7
42.24,-2.7,-3.1,-3,-2.2
43.2,-2.3,-2.5,-2.3,-2
44.16,-1.9,-2,-2,-1.7
45.12,-2,-2.2,-2,-2.3
46.08,-1.5,-2,-1.7,-1.3
47.04,-3.8,-5.6,-4.3,0.4
48,-2.9,-4.4,-3.7,-0.5
48.96,-1.4,-1.7,-1.3,-1.5
49.92,-1.8,-2,-2,-1.9
50.88,-2.2,-2.5,-2.5,-2
51.84,-1.6,-1.9,-1.9,-1.6
52.8,-1.9,-2.4,-1.5,-1.1
53.76,-2,-2.1,-1.9,-1.4
54.72,-2.1,-2.2,-2.1,-1.3
55.68,-1.6,-1.9,-1.9,-1.7
56.64,-1.4,-1.8,-1.6,-1.8
