"start","activation_ins_buzz","activation_ambient_rain","activation_ins_trill","activation_mech_plane"
132.48,-1.8,-2.3,-2.1,-2.2
133.44,-1.6,-1.8,-1.9,-2
134.4,-1.8,-2.1,-2.1,-2.3
135.36,-1.9,-2.2,-2.2,-2.3
136.32,-2.9,-3.2,-3.1,-3.4
137.28,-2.5,-2.8,-2.4,-2.8
138.24,-1.8,-1.9,-1.9,-2.2
139.2,-2,-1.9,-1.9,-2.2
140.16,-1.9,-2,-1.8,-2
141.12,-1.8,-2,-1.8,-2
142.08,-2.1,-2.3,-1.8,-2.1
143.04,-1.9,-2,-1.9,-2.4
144,-2.2,-2.4,-2.3,-2.5
144.96,-2.1,-2.6,-2.6,-2.8
145.92,-1.7,-1.8,-1.8,-1.8
146.88,-1.9,-2.3,-2.6,-2.5
147.84,-2,-2.4,-2,-2.5
148.8,-1.8,-1.9,-1.9,-2.1
149.76,-1.9,-2.4,-2,-2.3
150.72,-2.3,-2.5,-2.3,-2.4
151.68,-1.9,-2.4,-2.3,-2.3
152.64,-1.6,-2,-1.8,-1.9
153.6,-2.1,-2.2,-2.6,-2.4
154.56,-1.9,-2.1,-2.3,-2.3
155.52,-1.6,-2,-2,-2.2
156.48,-2,-2.1,-2.2,-2.4
157.44,-2.5,-2.4,-2.5,-2.3
158.4,-1.9,-2,-2,-2.1
159.36,-2.7,-2.7,-2.5,-2.5
160.32,-2,-2,-2.5,-2.3
161.28,-2.2,-2.1,-2,-2.2
162.24,-2.4,-2.4,-2.2,-2.3
163.2,-2.2,-2.7,-2.6,-2.6
164.16,-2,-2.1,-2,-2.1
165.12,-2.1,-2.5,-2.9,-2.9
166.08,-1.9,-2.3,-2.4,-2.6
167.04,-2,-2.2,-2.2,-2.2
168,-2.2,-2.4,-2.5,-2.5
168.96,-1.7,-2,-2.1,-2.2
169.92,-2.1,-2.5,-2.4,-2.5
170.88,-1.7,-1.8,-1.9,-2
171.84,-2,-2.3,-2.6,-2.8
172.8,-1.6,-2.1,-1.9,-2
173.76,-2.3,-3.1,-3.2,-3
174.72,-1.8,-1.9,-2.2,-2.3
175.68,-1.9,-2,-2.3,-2.3
176.64,-2.1,-2.2,-2.4,-2.5
177.6,-1.9,-1.8,-2.4,-2.3
178.56,-1.9,-2.3,-2.5,-2.5
179.52,-2.3,-2.5,-2.8,-2.8
180.48,-1.8,-2.3,-2.4,-2.4
181.44,-2.1,-2.1,-2.4,-2.5
182.4,-2.1,-2.1,-2.5,-2.4
183.36,-2.7,-2.5,-2.7,-2.6
184.32,-1.6,-2.6,-2.6,-2.6
185.28,-2,-2.1,-2,-2.2
186.24,-2,-2.1,-2.5,-2.6
187.2,-2.4,-1.8,-2,-2.3
188.16,-1.6,-1.6,-2,-2.2
189.12,-2.5,-2.5,-2.6,-2.5
190.08,-2,-2,-2.6,-2.5
191.04,-2.3,-2.5,-2.6,-2.7
192,-1.9,-2.3,-2.6,-2.4
192.96,-2.2,-2.3,-2.6,-2.5
193.92,-2.4,-2.1,-2.4,-2.5
194.88,-2.3,-2.6,-2.7,-2.9
195.84,-2.1,-2,-2.4,-2.4
196.8,-2.4,-2.1,-2.5,-2.7
197.76,-2.2,-2.4,-2.6,-2.7
198.72,-2.7,-2.9,-2.4,-2.8
199.68,-1.9,-1.9,-2.3,-2.2
200.64,-2.1,-2.2,-2.2,-2.4
201.6,-2,-1.9,-2.3,-2.6
202.56,-1.9,-1.9,-2.6,-2.6
203.52,-2.4,-2.6,-2.4,-2.6
204.48,-2.4,-2.5,-2.8,-2.7
205.44,-2,-2.1,-2.3,-2.3
206.4,-2,-2.1,-2.2,-2.5
207.36,-2.4,-2.6,-2.6,-2.6
208.32,-1.9,-2.1,-2.2,-2.3
209.28,-1.6,-1.8,-1.9,-2
210.24,-2.1,-2.2,-1.9,-2.1
211.2,-2,-2.3,-2.1,-2.4
212.16,-1.6,-1.7,-1.6,-1.6
213.12,-1.9,-1.9,-1.7,-2.1
214.08,-1.9,-2,-1.7,-2
215.04,-1.7,-2.1,-2.2,-2.2
216,-1.8,-2.1,-2.1,-2.3
216.96,-2.2,-2.5,-2,-2.2
217.92,-1.8,-2,-1.9,-2
218.88,-1.7,-2.1,-1.6,-2.1
219.84,-2.2,-2.6,-2.2,-2.2
220.8,-1.7,-2,-1.9,-2.3
221.76,-2,-2.3,-1.8,-2.1
222.72,-1.7,-2,-1.7,-2.1
223.68,-1.8,-2.2,-2.3,-2.5
224.64,-1.7,-1.9,-1.6,-1.9
225.6,-1.7,-2.1,-1.9,-2.1
226.56,-2.3,-2.5,-2.1,-2.6
227.52,-1.7,-2,-1.7,-2
228.48,-1.8,-2.3,-2.1,-2.5
229.44,-1.4,-1.9,-1.8,-1.6
230.4,-2.1,-2.6,-2.4,-2
231.36,-2.2,-2.7,-2.6,-2.2
232.32,-2.5,-3.1,-3.1,-2.5
233.28,-2,-2.4,-2.4,-2.3
234.24,-2.5,-2.9,-3,-2.2
235.2,-2.2,-2.5,-2.4,-2.2
236.16,-2,-2.8,-2.5,-2
237.12,-2.6,-3.4,-3.4,-2.6
238.08,-2.1,-2.5,-2.5,-2.6
239.04,-2.1,-2.7,-2.6,-2.2
240,-1.9,-2.1,-2.1,-2
240.96,-1.7,-2,-2,-1.9
241.92,-1.7,-1.9,-1.8,-1.9
242.88,-1.8,-2,-2,-2
243.84,-2,-1.9,-2,-2.3
244.8,-2.1,-2.4,-2.5,-2.5
245.76,-1.8,-2.2,-2.4,-2.5
246.72,-1.6,-2.1,-1.9,-2
247.68,-1.7,-2.2,-2.4,-2.4
248.64,-1.6,-2.3,-2.2,-2.3
249.6,-1.9,-1.8,-1.5,-2
250.56,-2,-2,-1.7,-2
