start_filetime,activation_ins_trill,activation_mech_plane,activation_ambient_rain,activation_ins_buzz
0,-2.1,-2.6,-2.3,-0.7
0.96,-2.5,-3,-2.9,-0.9
1.92,-2.3,-2.6,-2.7,-1.4
2.88,-3.6,-4,-3.5,-0.3
3.84,-3.1,-3.8,-3.2,-0.7
4.8,-4.6,-4.6,-4.4,-0.2
5.76,-2.4,-2.6,-2.6,-2.3
6.72,-1.8,-2.8,-2.2,-3
7.68,-1.6,-2.1,-2.1,-1
8.64,-3.5,-4.3,-3.8,-1
9.6,-1.6,-2,-1.7,-1.8
10.56,-1.6,-1.9,-2.1,-1.7
11.52,-2,-2.3,-2.2,-1.5
12.48,-3.7,-4.1,-4.2,-0.1
13.44,-1.6,-1.8,-2.1,-1.6
14.4,-3.6,-3.9,-3.6,0.3
15.36,-1.9,-2.3,-2.1,-1
16.32,-1.8,-2.4,-2.3,-2.2
17.28,-2.4,-2.9,-3.1,-3.3
18.24,-2.1,-2.3,-2.1,-2
19.2,-1.3,-2.1,-1.7,-1.9
20.16,-2.5,-3.1,-3.2,-1
21.12,-1.3,-2.3,-1.7,-1.8
22.08,-1.7,-2.6,-2.4,-1.6
23.04,-3.3,-4.1,-3.4,-0.5
24,-5.1,-5.3,-4.8,0.1
24.96,-5.8,-5.7,-5.3,0.5
25.92,-2.2,-3.1,-2.7,-0.8
26.88,-1.9,-2.5,-2.2,-2.8
27.84,-2.8,-3.3,-3.1,-0.9
28.8,-3.1,-4,-3.6,-0.9
29.76,-5,-5.8,-5,-0.2
30.72,-3.6,-3.7,-3.5,-0.2
31.68,-1.5,-2.2,-1.8,-1.9
32.64,-3.6,-4.1,-3.8,-0.3
33.6,-1.7,-2.4,-2.2,-1.9
34.56,-2.1,-2.8,-2,-2.8
35.52,-1.6,-2.2,-2.1,-1.6
36.48,-1.4,-2.2,-1.8,-1.7
37.44,-1.5,-2.4,-2.2,-1.6
38.4,-1.7,-2.7,-2.6,-2.2
39.36,-4.5,-4.7,-4.4,0.5
40.32,-3.6,-3.9,-3.7,-0.4
41.28,-1.9,-2.4,-2.2,-0.8
42.24,-1.7,-2.1,-1.6,-1.2
43.2,-3.6,-4.2,-3.6,0.1
44.16,-1.7,-2.5,-2.1,-1.3
45.12,-1.9,-2.8,-2.6,-2.1
46.08,-3.3,-4.4,-3.9,-0.5
47.04,-1.5,-2,-1.9,-1.3
48,-3.9,-4.4,-4.3,0.5
48.96,-4.1,-4.6,-4,0
49.92,-1.4,-2.3,-1.9,-2
50.88,-1.7,-2.2,-2.2,-2.1
51.84,-1.7,-2.1,-1.9,-1.3
52.8,-3.1,-3.4,-3.2,-0.4
53.76,-2.9,-3.3,-3.3,-0.3
54.72,-1.5,-1.9,-1.1,-1.5
55.68,-2.9,-3.9,-3.7,-0.3
56.64,-2.1,-2.2,-2.1,-1.7
57.6,-2.1,-3.1,-2.6,-0.5
58.56,-2.1,-2.8,-2.7,-1.3
59.52,-2.4,-3.2,-2.7,-1.2
60.48,-2.1,-2.7,-2,-1
61.44,-2.5,-3,-2.7,-0.4
62.4,-4.6,-5.1,-4.8,0.5
63.36,-2.4,-3,-2.9,-0.7
64.32,-3.3,-3.6,-3.2,-0.3
65.28,-4,-4.2,-3.7,0.2
66.24,-3,-3.8,-3.2,-0.8
67.2,-4.6,-5,-4.6,0.4
68.16,-5,-5,-4.7,0.4
69.12,-2,-2.5,-2.5,-1
70.08,-4.2,-4.6,-4.1,0
71.04,-2.5,-3,-2.5,-1.4
72,-2.5,-3.2,-1.9,-1.7
72.96,-3.3,-4.3,-3.4,-0.7
73.92,-3.8,-4.2,-4,0.3
74.88,-4.1,-4.4,-4,0.2
75.84,-3,-3.5,-3.2,-0.8
76.8,-2.1,-2.7,-2.6,-1.3
77.76,-2.6,-4.2,-3.4,-0.2
78.72,-3.8,-4.1,-4.2,-0.2
79.68,-3.3,-3.4,-3.7,-0.6
80.64,-4.4,-4.7,-4.4,0.4
81.6,-4,-4,-4.2,0
82.56,-4.6,-5.2,-4.4,0.2
83.52,-2.2,-3,-2.8,-1.5
84.48,-4.2,-4.7,-4.3,0.6
85.44,-4.6,-4.8,-4.1,0.7
86.4,-3.4,-4.2,-3.1,-0.5
87.36,-2.3,-2.8,-2.2,-1.1
88.32,-4.8,-5.1,-4.6,0.8
89.28,-2.2,-2.6,-2,-1.8
90.24,-5.2,-5.1,-4.8,0.9
91.2,-4.7,-4.9,-4.5,0.7
92.16,-2,-2.4,-2.2,-1.6
93.12,-3,-3.5,-3,0.3
94.08,-6.7,-6.6,-5.5,0.8
95.04,-5.3,-5.4,-5.1,0.6
96,-3.9,-4.4,-3.7,-0.4
96.96,-6.2,-6.4,-5.7,0.6
97.92,-5.9,-6.4,-5.6,0.8
98.88,-4.7,-5.2,-4.7,0.5
99.84,-7.5,-8.3,-7.2,0.8
100.8,-4.8,-5.2,-4.8,0.6
101.76,-3,-3.5,-3.5,-0.3
102.72,-5,-5.2,-4.4,-0.1
103.68,-5.7,-5.3,-4.8,0.6
104.64,-3.4,-3.6,-3.7,-0.3
105.6,-2.5,-3,-2.5,-0.5
106.56,-4.5,-4.9,-4.8,0.5
107.52,-4.2,-4.6,-4.4,0.1
108.48,-1.5,-2.2,-2.2,-1.7
109.44,-4.3,-4.5,-4.4,0.1
110.4,-4.8,-5,-4.2,1
111.36,-3.1,-3.5,-3.4,-0.3
112.32,-3.5,-3.9,-3.6,0.1
113.28,-2.1,-2.6,-2.4,-1.4
114.24,-2.7,-3.6,-2.5,-1
115.2,-3.9,-4.1,-4.3,-0.3
116.16,-5.2,-5.2,-4.4,0.7
117.12,-2.2,-3.2,-2.5,-1.9
118.08,-1.7,-2.2,-1.9,-2.3
119.04,-2,-2.4,-1.9,-1.3
120,-3.2,-3.5,-3.3,-0.4
120.96,-2.8,-3.1,-2.9,-0.3
121.92,-6.3,-5.9,-5.8,1
122.88,-3.7,-4.4,-3.8,-0.1
123.84,-3.9,-4.1,-3.8,0
124.8,-2.4,-2.8,-3.1,-0.9
125.76,-3.1,-3.3,-3.4,0.1
126.72,-4.2,-4.6,-4.1,0.5
127.68,-3.4,-3.9,-3.8,-0.3
128.64,-1.7,-2.6,-2,-1.2
129.6,-2.3,-2.5,-2.8,-2.4
130.56,-1.8,-2.5,-2.4,-2
131.52,-2.8,-3.5,-2.9,-0.7
132.48,-3.9,-4.7,-4,-0.4
133.44,-2.5,-2.8,-2.5,-2.2
134.4,-2.7,-3.7,-3.4,-1.3
