start_filetime,activation_ins_trill,activation_mech_plane,activation_ambient_rain,activation_ins_buzz
0,-1.9,-2.2,-1.7,-1.6
0.96,-2.4,-2.7,-2.3,-2.2
1.92,-1.9,-2.5,-1.9,-1.9
2.88,-1.4,-2.1,-1.4,-1.6
3.84,-1.7,-2.1,-2,-1.7
4.8,-1.5,-2.1,-1.6,-1.8
5.76,-1.7,-1.9,-1.8,-1.6
6.72,-1.5,-2.2,-1.9,-2
7.68,-2,-2.6,-2.4,-2.5
8.64,-1.9,-2.2,-2.1,-2
9.6,-2.7,-3.6,-2.9,-2
10.56,-2.6,-2.9,-2.6,-1.9
11.52,-2.5,-2.6,-2.3,-1.9
12.48,-2.8,-3.2,-2.4,-2.7
13.44,-3.2,-3.3,-3,-2.3
14.4,-3.3,-4.7,-3.6,-2.8
15.36,-2.8,-3.5,-3.2,-2.3
16.32,-1.7,-2.3,-1.9,-1.9
17.28,-1.9,-2.5,-2,-1.8
18.24,-2.6,-2.9,-2.5,-1.7
19.2,-1.8,-2.4,-2.3,-2.5
20.16,-3.5,-3.8,-3.2,-2
21.12,-2.5,-3.2,-2.4,-2.4
22.08,-2.8,-3.5,-3.1,-2.2
23.04,-3.1,-4.4,-3.5,-2.2
24,-3.2,-3.6,-2.5,-2.6
24.96,-2.3,-2.9,-2.5,-1.4
25.92,-3.4,-4.1,-3.2,-0.7
26.88,-1.5,-2.6,-2,-2.6
27.84,-2.2,-2.5,-1.9,-1.8
28.8,-1.9,-2.7,-1.5,-2.2
29.76,-1.6,-2.2,-1.7,-2
30.72,-2.1,-3.1,-2.9,-1.6
31.68,-1.6,-2.3,-2.1,-2
32.64,-2.2,-2.5,-2,-2.2
33.6,-2.4,-2.5,-2.1,-2.1
34.56,-2,-2.4,-2.2,-1.7
35.52,-2.3,-3.1,-2.9,-2.4
36.48,-1.1,-2.2,-1.5,-1.4
37.44,-2.1,-2.6,-2,-1.7
38.4,-3.5,-4,-3.1,-1
39.36,-2.1,-3.4,-2.9,-0.9
40.32,-2.6,-3,-2.8,-1
41.28,-1.7,-2.4,-1.5,-1.7
42.24,-4.3,-5,-4.6,0.7
43.2,-2.6,-3,-1.9,-1.9
44.16,-2.3,-3,-2.5,-1.7
45.12,-4.5,-5.8,-4.4,-1.4
46.08,-2.6,-3.2,-2,-1.9
47.04,-3.2,-3.5,-3,-2.5
48,-3.2,-4.2,-3.7,-1.9
48.96,-1.8,-2.3,-2.2,-2.1
49.92,-2.8,-3,-2.7,-2.4
50.88,-2.7,-3.2,-2.7,-2.7
51.84,-2.4,-2.9,-2.8,-2.4
52.8,-2.6,-3.5,-2.6,-2.1
53.76,-1.7,-2.4,-1.9,-2
54.72,-2.3,-2.9,-2.1,-2.3
55.68,-1.7,-2.3,-1.9,-1.8
56.64,-1.9,-2.5,-2,-2.2
57.6,-2.1,-3.1,-2.6,-1.6
58.56,-2.4,-3.4,-2.1,-2.5
59.52,-1.7,-2.5,-2.1,-2.1
60.48,-1.9,-2.2,-1.9,-1.6
