start_filetime,activation_ins_trill,activation_mech_plane,activation_ambient_rain,activation_ins_buzz
0,-1.5,-1.7,-1.6,-1.2
0.96,-2.7,-2.8,-2.5,-2.1
1.92,-1.6,-2.1,-1.6,-1.4
2.88,-1.8,-2,-1.6,-1.6
3.84,-2,-2.4,-2.2,-2.1
4.8,-2.2,-2.4,-1.8,-1.9
5.76,-2,-2.6,-2,-2.4
6.72,-1.5,-2.1,-1.5,-1.8
7.68,-1.8,-2,-1.8,-1.9
8.64,-1.7,-2,-1.6,-1.7
9.6,-1.7,-2.2,-1.8,-1.9
10.56,-1.8,-2.2,-1.7,-1.9
11.52,-1.8,-2.4,-2.3,-1.9
12.48,-1.5,-2.2,-1.9,-1.6
13.44,-1.8,-2.4,-1.9,-2.2
14.4,-1.6,-2.6,-2.1,-1.6
15.36,-2.2,-3.1,-2.6,-1.2
16.32,-1.8,-2.5,-1.8,-2
17.28,-1.8,-3.1,-2.4,-1.4
18.24,-2.7,-3.1,-2,-2.3
19.2,-1.2,-1.9,-1.5,-1.6
20.16,-2.2,-3.4,-2,-2.9
21.12,-1.7,-2.5,-1.7,-1.6
22.08,-2,-2.7,-1.7,-2
23.04,-1.8,-2.3,-2.1,-2.2
24,-1.9,-2.5,-1.6,-1.6
24.96,-2.1,-3.4,-3,-1.2
25.92,-3,-4.7,-4.2,-0.1
26.88,-1.7,-2,-2.2,-1.9
27.84,-2,-2.7,-1.5,-2.2
28.8,-1.9,-2,-1.4,-2.1
29.76,-2.2,-3.1,-2.5,-2.7
30.72,-2.1,-2.5,-2.4,-2.7
31.68,-2.1,-2.3,-1,-2.5
32.64,-2.2,-2.3,-1.9,-2.3
33.6,-2.5,-2.4,-2.4,-2.9
34.56,-1.2,-1.9,-1.4,-1.3
35.52,-2.1,-2.9,-2.1,-2.9
36.48,-2.4,-2.8,-2,-2.5
37.44,-2.4,-2.6,-2.2,-2.5
38.4,-2.1,-2.8,-2,-2.5
39.36,-2.1,-2.9,-2.1,-2.3
40.32,-1.6,-1.9,-1.7,-1.7
41.28,-2,-2.2,-2.2,-2.4
42.24,-2.3,-2.8,-2.4,-2.5
43.2,-3.1,-3.2,-2.4,-2.4
44.16,-4.3,-3.5,-2.6,-3.6
45.12,-3.1,-3,-2.8,-3.1
46.08,-3.8,-3.4,-3.1,-3.8
47.04,-2,-2.5,-1.7,-2.2
48,-2.4,-3.3,-1.5,-2.6
48.96,-1.9,-2.7,-1.5,-2.1
49.92,-2.7,-3.4,-2.5,-3.3
50.88,-2.4,-3,-1.8,-2.6
51.84,-2.1,-2.7,-1.6,-2.4
52.8,-2.2,-2.4,-2.1,-1.6
53.76,-2.5,-3,-1.8,-2.5
54.72,-2.6,-3.2,-2.6,-2.8
55.68,-2.1,-3.2,-2.8,-1.3
56.64,-1.9,-2.8,-1.7,-2.3
57.6,-1.6,-2.3,-2,-1.9
58.56,-1.9,-2.8,-1.5,-2
59.52,-3.3,-3,-2.8,-3.2
60.48,-2.8,-2.8,-2.7,-2.6
61.44,-2.4,-2.6,-2.1,-2.4
62.4,-1.8,-2.7,-1.8,-2.2
63.36,-1.9,-2.5,-1.7,-1.7
64.32,-1.8,-2.6,-1.7,-2.2
65.28,-2.9,-3.4,-2.8,-2.8
66.24,-1.8,-2.4,-2.1,-2.3
67.2,-1.9,-2.4,-2.1,-1.8
68.16,-1.7,-2,-1.7,-1.7
69.12,-2.1,-3.2,-2.5,-1.3
70.08,-1.3,-2.8,-2.3,-1.4
71.04,-1.7,-2.4,-1.6,-1.8
72,-1.6,-2.1,-1.7,-1.8
72.96,-2.1,-3,-2.4,-2
73.92,-1.9,-2.6,-2.3,-1.5
74.88,-2.2,-2.9,-2.6,-2.1
75.84,-1.8,-3,-2.6,-1.7
76.8,-1.8,-2.3,-1.8,-1.5
77.76,-3.8,-5.6,-4.9,0.1
78.72,-2,-2.7,-2.5,-1.6
79.68,-2.5,-4.1,-3.2,-1.5
80.64,-2.2,-3.2,-2.5,-1.7
81.6,-2.7,-3.4,-1.9,-2.9
82.56,-2.7,-3.6,-2.6,-3.2
83.52,-2.4,-2.7,-1.9,-2.3
84.48,-1.9,-2.8,-1.2,-2.2
85.44,-2.8,-3.1,-2.3,-3.3
86.4,-2.1,-2.9,-2.1,-2.4
87.36,-1.9,-2.5,-1.7,-2.1
88.32,-2.2,-3.4,-2.3,-2.3
89.28,-2.5,-3.5,-1.9,-2.9
90.24,-2.5,-3,-2.2,-2.7
91.2,-2.1,-2.9,-1.7,-2.2
92.16,-1.4,-2.6,-2.2,-1.5
93.12,-2,-2.2,-1.9,-2
94.08,-1.8,-3,-1.5,-2.2
95.04,-1.8,-2.5,-1.9,-1.9
96,-2,-3.5,-2.5,-1.4
96.96,-2.1,-2.8,-2.2,-1.7
97.92,-1.8,-2.5,-1.9,-1.8
98.88,-2.1,-2.7,-1.6,-2
99.84,-2,-2.3,-1.9,-2.2
100.8,-1.8,-2.6,-1.6,-1.9
101.76,-1.6,-2.3,-2.4,-1.6
102.72,-2.4,-3.5,-2.7,-1.1
103.68,-2,-2.8,-1.4,-1.5
104.64,-2.2,-3,-2.7,-2.3
105.6,-1.8,-2.9,-2.2,-1.3
106.56,-2.1,-3,-2.3,-1.6
107.52,-1.8,-2.6,-2,-2.1
108.48,-1.6,-3.1,-2.2,-1.7
109.44,-1.9,-2.5,-1.7,-1.6
110.4,-1.9,-2.5,-2.5,-1.1
111.36,-2,-3.2,-2.7,-1.6
112.32,-2,-2.5,-2.1,-1.3
113.28,-1.7,-2.8,-2,-1.6
114.24,-1.9,-2.8,-2.2,-1.5
115.2,-1.9,-2.4,-2.2,-2.4
116.16,-2.2,-2.8,-2.3,-1.4
117.12,-1.5,-2.4,-1.9,-1.5
118.08,-1.8,-2.4,-2.3,-1.8
119.04,-2.1,-2.9,-2.4,-1.1
120,-1.7,-2.5,-2.2,-2
120.96,-2.9,-3.6,-3.2,-1.7
121.92,-1.9,-2.4,-2.2,-1.9
122.88,-1.9,-2.7,-2.2,-1.6
123.84,-2.3,-3,-2.5,-1.3
124.8,-2.4,-3.6,-3,-1.7
125.76,-2.5,-4.2,-3.5,-1.8
126.72,-1.8,-2.7,-2.2,-1.4
127.68,-1.8,-2.9,-2.4,-1.5
128.64,-2.7,-4,-3.4,-0.9
