start_filetime,activation_ins_trill,activation_mech_plane,activation_ambient_rain,activation_ins_buzz
0,-2.5,-3,-2.8,-0.2
0.96,-3.2,-3.8,-2.9,-0.6
1.92,-2.7,-3,-2.7,-1.3
2.88,-2.8,-3.5,-2.8,-1.1
3.84,-3.5,-3.9,-3.1,-0.4
4.8,-2.2,-2.5,-2.2,-1.1
5.76,-2.7,-3,-2.8,-1.5
6.72,-4.6,-5.4,-4.5,-0.1
7.68,-5.5,-6.4,-5.1,0.5
8.64,-2.5,-2.9,-2.6,-0.8
9.6,-5,-5.5,-4.4,0.2
10.56,-3.6,-3.9,-3.5,-0.3
11.52,-3,-3.3,-2.9,-0.8
12.48,-2.9,-3.4,-3.2,-1.3
13.44,-3.2,-3.9,-3.4,-0.3
14.4,-1.7,-2.2,-2,-2
15.36,-4.4,-4.9,-4.1,-0.1
16.32,-5.8,-6.7,-5.5,0.7
17.28,-4.4,-5.2,-4,0
18.24,-2.1,-3.2,-2.8,-1.7
19.2,-2.3,-2.7,-2.3,-1.8
20.16,-2.8,-3.6,-3.4,-1.6
21.12,-4.1,-4.7,-4.1,0.1
22.08,-2.5,-2.8,-2.5,-1.5
23.04,-3.9,-4.3,-4.1,-0.3
24,-3.6,-4,-3.9,-0.4
24.96,-5,-5.7,-4.5,0.5
25.92,-1.9,-2.5,-2.3,-1.3
26.88,-3,-3.2,-2.9,-0.9
27.84,-4.6,-5.1,-4.8,0.2
28.8,-3.8,-4.5,-3.5,-0.1
29.76,-3.5,-3.9,-3.5,-0.3
30.72,-5.2,-5.7,-4.8,-0.1
31.68,-4.3,-5.3,-4.2,0.4
32.64,-4.9,-5.6,-5.1,0.6
33.6,-4.3,-4.4,-4.2,0.3
34.56,-4.3,-4.9,-4.4,-0.7
35.52,-5.7,-6.2,-5.2,0.8
36.48,-2.8,-3.5,-3.5,-1.4
37.44,-4.6,-5,-4.7,0.3
38.4,-5.8,-6.1,-5.4,1.2
39.36,-5.7,-6.3,-5.5,0.1
40.32,-5.2,-6.1,-5,0.4
41.28,-6,-6.6,-5.6,-0.4
42.24,-2.7,-3.3,-2.7,-1.3
43.2,-1.9,-2.7,-2.3,-2.4
44.16,-4.2,-4.9,-4.4,0.2
45.12,-2.8,-3.2,-3,-1.8
46.08,-2.9,-3.4,-2.9,-0.4
47.04,-4.4,-5.3,-4.4,-0.1
48,-3.5,-4.3,-3.8,-0.8
48.96,-2.6,-3.3,-3.1,-1.4
49.92,-3.4,-3.8,-3.8,-0.7
50.88,-1.7,-2.3,-2,-1.5
51.84,-6.4,-7,-6.2,0.7
52.8,-3.6,-4.4,-4.2,-0.9
53.76,-5.1,-5.4,-4.8,0.1
54.72,-3.1,-3.8,-3.5,-0.7
55.68,-4.2,-4.7,-4,0
56.64,-4.3,-4.7,-4.2,0.1
57.6,-4.7,-4.4,-4.1,0.3
58.56,-3.9,-4.8,-4.3,-0.4
59.52,-6.2,-7,-5.4,1.4
60.48,-4.3,-4.8,-4.3,-0.6
61.44,-3.9,-4.3,-3.8,-1.3
62.4,-4.2,-5,-3.9,-0.3
63.36,-5.3,-5.4,-4.8,1.3
64.32,-3.8,-4,-3.6,0.1
65.28,-3.1,-4.1,-3.7,-1.6
66.24,-3.1,-4,-3.7,-1.6
67.2,-3.5,-5,-4.2,-0.1
68.16,-5,-5.2,-4.7,0.3
69.12,-4.8,-5,-4.2,0.8
70.08,-4.4,-5.1,-4.2,-0.3
71.04,-2,-2.5,-1.9,-1.8
72,-3.7,-4.5,-4,-1
72.96,-5.1,-5.9,-5.1,0.1
73.92,-4.1,-4.6,-3.9,0.1
74.88,-4.8,-5.5,-4.7,0.6
75.84,-1.9,-2.6,-2,-2.1
76.8,-3.5,-3.9,-3.4,0.3
77.76,-4.3,-4.7,-4.4,0.5
78.72,-2.2,-2.6,-2.5,-0.5
79.68,-2.1,-2.6,-2.4,-0.9
80.64,-4.5,-5.2,-4.6,-1
81.6,-3.7,-4,-3.4,-1.1
82.56,-3.9,-4.9,-4.6,-0.4
83.52,-4.2,-4.7,-4,-0.1
84.48,-2.9,-3.2,-2.7,-0.4
85.44,-4.5,-4.6,-4.2,0
86.4,-2.8,-3.3,-3.2,-0.5
87.36,-4.2,-4.5,-4.2,0
88.32,-4.4,-5.1,-4.5,-0.3
89.28,-3.4,-3.7,-3.2,-0.7
90.24,-3.3,-4.4,-3.5,-0.8
91.2,-4.7,-5.5,-4.7,-0.5
92.16,-2.1,-2.8,-2.9,-2.4
93.12,-3.2,-4,-2.9,-1.6
94.08,-2.9,-3.7,-2.4,-1.9
95.04,-3.4,-4.3,-3.7,-1
96,-4.7,-5.3,-4.3,-0.7
96.96,-4.7,-5.3,-4.8,-0.3
97.92,-2.8,-3.1,-2.6,-1.5
98.88,-4.1,-4.7,-3.9,-1.1
99.84,-3,-3.8,-2.8,-1.5
100.8,-5.6,-6.5,-5.3,-0.1
101.76,-4.9,-5.7,-4.8,-1.2
102.72,-3.6,-4.5,-3.9,-1.2
103.68,-4.7,-5.2,-4.7,0.6
104.64,-3,-3.9,-3.2,-0.5
105.6,-3.2,-4,-3.6,-1.3
106.56,-3.8,-4,-3.3,-1.8
107.52,-5.3,-6.5,-5.5,-0.9
108.48,-2.1,-2.8,-2.3,-1.3
109.44,-3.2,-3.7,-3,-0.3
110.4,-4.4,-5,-4.6,-0.5
111.36,-3.8,-4.7,-3.9,-0.7
112.32,-4.2,-5.1,-4.4,-0.7
113.28,-2.9,-3.9,-3.6,-1.5
