start_filetime,activation_ins_trill,activation_mech_plane,activation_ambient_rain,activation_ins_buzz
0,-1.7,-1.8,-1.7,-1.5
0.96,-2.4,-2.3,-2.3,-2.2
1.92,-2.2,-1.9,-1.5,-1.9
2.88,-2.4,-2.6,-2,-1.7
3.84,-3.5,-3.6,-3.5,-1.9
4.8,-4.2,-4.1,-4.1,-3
5.76,-2.4,-2.9,-2.3,-2
6.72,-2.6,-2.5,-2,-2
7.68,-2.4,-2.3,-1.8,-2.2
8.64,-1.6,-1.6,-1.5,-1.4
9.6,-3.7,-3.9,-4,-2.3
10.56,-2.2,-2.5,-2.3,-2.3
11.52,-3.1,-3.1,-3.3,-2.7
12.48,-2.9,-2.8,-2.8,-2.4
13.44,-1.9,-1.9,-1.7,-1.6
14.4,-2,-2.2,-1.6,-1.6
15.36,-2.7,-2.8,-2.8,-2.1
16.32,-2,-2.1,-1.5,-1.6
17.28,-2.4,-2.2,-1.8,-1.9
18.24,-2.5,-2.3,-2.5,-1.7
19.2,-1.7,-1.9,-2.2,-2
20.16,-2.6,-2.4,-2.8,-2.2
21.12,-2.7,-2.8,-3,-2.4
22.08,-2.2,-2.5,-2.5,-2.4
23.04,-2,-1.9,-1.5,-1.6
24,-2,-2.2,-1.8,-1.3
24.96,-2.3,-2.5,-2.5,-1.6
25.92,-2.9,-2.9,-2.9,-2
26.88,-1.8,-1.8,-1.3,-1.3
27.84,-2.3,-2.1,-2.6,-2.2
28.8,-2.3,-2,-2.2,-1.8
29.76,-2,-2,-1.8,-1.5
30.72,-2.4,-2.3,-2.4,-1.7
31.68,-2,-2.1,-2.1,-1.8
32.64,-2.5,-2.7,-2.5,-1.7
33.6,-1.8,-2.1,-1.9,-1.6
34.56,-1.8,-1.9,-1.8,-1.2
35.52,-2.3,-2.2,-2.3,-1.7
36.48,-2.2,-1.9,-1.8,-1.7
37.44,-2.1,-2.2,-2,-1.8
38.4,-2.1,-2,-1.7,-1.6
39.36,-2.3,-2.2,-1.9,-1.4
40.32,-1.6,-1.5,-1.6,-1.2
41.28,-2.4,-2.3,-2.3,-1.8
42.24,-2.1,-2.1,-1.9,-1.5
43.2,-2.3,-2.4,-2.5,-1.7
44.16,-3.1,-3.4,-3.3,-1.9
45.12,-2.5,-2.5,-2.8,-1.9
46.08,-2.3,-2.3,-2.3,-1.8
47.04,-2.1,-1.9,-2,-1.6
48,-2.5,-2.3,-2.4,-2
48.96,-1.9,-2.5,-1.9,-1.8
49.92,-2,-2.1,-2,-1.2
50.88,-1.9,-1.8,-1.9,-1.4
