start_filetime,activation_ins_trill,activation_mech_plane,activation_ambient_rain,activation_ins_buzz
0,-2.5,-2.4,-2.2,-1.9
0.96,-2.1,-2,-2.2,-1.8
1.92,-2.7,-3,-2.2,-2.2
2.88,-2,-2.4,-2,-2
3.84,-1.8,-1.8,-2,-1.8
4.8,-2.1,-2.2,-2.1,-1.7
5.76,-2.6,-2.3,-2.4,-2.3
6.72,-2.2,-2.3,-2.3,-2.1
7.68,-2,-2.4,-1.9,-1.7
8.64,-2.6,-2.6,-2.9,-2.2
9.6,-2.9,-3,-3.1,-2.4
10.56,-3.7,-3.5,-3.5,-2.7
11.52,-2.1,-2,-2.3,-2
12.48,-1.9,-2,-1.7,-1.3
13.44,-1.7,-1.9,-1.4,-1.7
14.4,-1.8,-1.8,-1.8,-1.6
15.36,-3.1,-2.6,-3.1,-2.4
16.32,-2,-1.9,-1.9,-1.7
17.28,-2.7,-2.6,-2.6,-2.3
18.24,-2,-2,-1.7,-1.6
19.2,-1.4,-2,-1.7,-1.6
20.16,-1.5,-2,-1.6,-1.8
21.12,-2.1,-2.1,-2.1,-1.9
22.08,-2.3,-2.3,-2,-2.3
23.04,-1.6,-2.1,-1.6,-1.7
24,-2.1,-2.3,-2.1,-1.9
24.96,-2.6,-2.5,-2.2,-2.2
25.92,-2.8,-2.8,-2.4,-2.4
26.88,-2.8,-3.2,-2.6,-2.5
27.84,-2,-2.3,-1.8,-1.8
28.8,-1.5,-1.6,-1.2,-1.3
29.76,-2.2,-2.7,-2.1,-2.2
30.72,-1.9,-2.4,-1.7,-1.8
31.68,-1.7,-1.9,-1.7,-1.6
32.64,-1.9,-2.1,-1.9,-1.6
33.6,-1.6,-2,-1.5,-1.7
34.56,-1.8,-2.1,-1.9,-1.4
35.52,-2.6,-2.1,-2.3,-1.8
36.48,-3.2,-3.5,-3.4,-2.4
37.44,-2.2,-2.2,-2.2,-2
38.4,-2.1,-2.2,-2.4,-2
39.36,-1.4,-1.8,-1.5,-1.7
40.32,-2.4,-2.4,-2.6,-2.1
41.28,-2.2,-2.2,-2.2,-1.9
42.24,-2.5,-2.8,-2.6,-2.1
43.2,-3.1,-2.8,-3.3,-2.8
44.16,-1.7,-2,-1.6,-1.8
45.12,-1.9,-2.3,-1.7,-2
46.08,-2.1,-2.6,-2.5,-2.5
47.04,-1.5,-1.9,-1.4,-1.7
48,-1.6,-2.2,-1.7,-1.8
48.96,-1.6,-2.3,-1.7,-1.8
49.92,-1.8,-2.1,-1.9,-1
50.88,-1.5,-2,-1.6,-1.6
51.84,-2.4,-2.8,-2.5,-2.1
52.8,-2.1,-2.3,-2.2,-2.2
53.76,-1.9,-2.2,-1.7,-1.8
54.72,-1.8,-2.2,-1.8,-2
55.68,-1.9,-2.2,-1.6,-1.9
56.64,-3.9,-4.3,-3.8,-3
57.6,-2.8,-3,-2.9,-2.8
58.56,-3.2,-3.2,-3.6,-3
59.52,-2.9,-2.9,-3.2,-3
60.48,-2,-2.3,-2.2,-1.9
61.44,-2.5,-2.4,-2.7,-2.2
62.4,-1.7,-1.8,-2,-1.7
63.36,-1.5,-2,-1.8,-1.7
64.32,-1.8,-2.1,-1.7,-1.9
65.28,-2,-2.1,-2.3,-1.7
66.24,-2.3,-2.4,-2.3,-1.9
67.2,-1.9,-2.1,-1.9,-1.7
68.16,-2.2,-2.2,-1.9,-1.7
69.12,-1.8,-2.2,-2,-1.8
70.08,-1.8,-2.1,-1.8,-1.7
71.04,-1.5,-1.7,-1.7,-1.6
72,-1.8,-2,-1.8,-1.7
72.96,-1.6,-2.1,-2,-1.9
73.92,-1.7,-2,-1.9,-1.7
74.88,-2,-2.2,-1.8,-1.8
75.84,-1.6,-2,-1.4,-1.8
76.8,-1.8,-2.1,-2,-1.9
77.76,-1.7,-2.2,-2.1,-1.9
78.72,-2,-2.5,-2.5,-2.2
79.68,-2.1,-2.3,-2.1,-2
80.64,-2.2,-2.4,-2.2,-2
81.6,-2.1,-2.3,-1.9,-1.2
82.56,-1.9,-2.2,-1.7,-1.2
83.52,-2.6,-2.8,-2.6,-2
84.48,-2.3,-2.4,-2.2,-2
85.44,-2,-2,-1.9,-2
86.4,-1.8,-2.2,-1.5,-1.5
87.36,-2.6,-2.4,-2.2,-1.9
88.32,-2.5,-2.6,-2.3,-2.2
89.28,-3.8,-3.5,-3.8,-3.1
90.24,-2.1,-2.4,-2,-2.3
91.2,-2.1,-2.3,-2,-2.2
92.16,-1.8,-2.3,-1.6,-1.9
93.12,-1.7,-2.2,-1.8,-2
94.08,-1.9,-2.4,-1.7,-2.2
95.04,-1.9,-2.5,-2.2,-2.1
96,-1.8,-2.4,-2,-2.1
96.96,-2.3,-2.5,-2.5,-2.4
97.92,-2.1,-2.6,-2.3,-2.2
98.88,-3,-3,-3,-2.7
