start_filetime,activation_ins_trill,activation_mech_plane,activation_ambient_rain,activation_ins_buzz
0,-1.7,-2.3,-1.6,-1.5
0.96,-1.5,-2.1,-1.7,-1.7
1.92,-2.6,-2.7,-2,-2.2
2.88,-2,-2.5,-1.9,-1.7
3.84,-1.5,-2.2,-1.6,-2
4.8,-1.5,-2.2,-1.6,-1.9
5.76,-1.6,-2.1,-1.6,-1.8
6.72,-2.1,-2.4,-1.7,-2.5
7.68,-2.3,-2.4,-1.9,-2
8.64,-1.8,-2.5,-2,-2.1
9.6,-1.9,-2.2,-1.4,-1.7
10.56,-2.6,-2.4,-2.2,-2.5
11.52,-2.4,-2.5,-2.2,-2.6
12.48,-2.6,-2.7,-2.2,-2.5
13.44,-1.9,-2.1,-1.6,-1.6
14.4,-1.6,-2,-1.3,-1.6
15.36,-2.1,-2.7,-2.1,-1.9
16.32,-2.1,-2.2,-1.8,-2
17.28,-1.4,-2.2,-1.3,-1.9
18.24,-2.2,-2.4,-2,-2.3
19.2,-2.3,-2.7,-1.5,-2.4
20.16,-2.4,-2.9,-1.7,-2.2
21.12,-1.6,-2.3,-1.3,-1.9
22.08,-1.6,-1.8,-1.6,-1.6
23.04,-2.8,-2.6,-2.1,-2
24,-2,-2.3,-2,-1.7
24.96,-2,-2.3,-1.8,-2.1
25.92,-1.8,-2.1,-1.8,-2
26.88,-1.8,-2,-1.6,-1.9
27.84,-2,-2.3,-1.3,-1.8
28.8,-2.3,-2.5,-1.4,-1.9
29.76,-1.9,-2.1,-1.8,-1.8
30.72,-2.8,-2.6,-2,-2.3
31.68,-2.6,-2.3,-2.4,-2.3
32.64,-2.8,-2.9,-1.7,-2.5
33.6,-2.7,-2.5,-2.1,-1.9
34.56,-3.7,-3.6,-3.8,-2.6
35.52,-3.2,-2.8,-3.1,-2.4
36.48,-2.7,-2.5,-2.3,-2.1
37.44,-2.7,-2.8,-2.4,-2.2
38.4,-3.5,-3.7,-3.4,-2.4
39.36,-3.3,-3.7,-3.5,-2.6
40.32,-2.2,-2.5,-2.1,-1.7
41.28,-3.1,-2.8,-2.9,-2.2
42.24,-3.2,-3.1,-3,-2.6
43.2,-2.4,-2.7,-2.2,-2.1
