start_filetime,activation_ins_trill,activation_mech_plane,activation_ambient_rain,activation_ins_buzz
0,-1.6,-1.9,-1.9,-1.7
0.96,-1.6,-2.1,-1.7,-1.9
1.92,-1.5,-2,-1.7,-1.7
2.88,-1.8,-2.1,-2.1,-2
3.84,-1.8,-2.3,-2,-2
4.8,-1.7,-2.2,-1.9,-1.9
5.76,-1.6,-2,-1.6,-1.7
6.72,-2.3,-2.5,-2,-2.4
7.68,-1.7,-2.3,-1.8,-2
8.64,-2.7,-3,-3,-0.3
9.6,-2,-2,-2,-1.6
10.56,-2.2,-2.3,-2.1,-2.1
11.52,-1.6,-1.9,-1.4,-1.7
12.48,-1.4,-1.9,-1.3,-1.6
13.44,-2.1,-2.6,-2.3,-2.6
14.4,-2,-2.5,-1.9,-2.1
15.36,-2.2,-2.5,-2.7,-2.5
16.32,-2.1,-2.5,-2.2,-2.1
17.28,-1.8,-2.2,-1.9,-1.7
18.24,-1.5,-1.9,-1.5,-1.6
19.2,-1.7,-2.2,-1.7,-1.7
20.16,-1.6,-2.4,-1.6,-1.8
21.12,-1.8,-2.3,-1.8,-1.9
22.08,-1.6,-2.2,-1.7,-2
23.04,-3,-3.2,-3.5,-3.2
24,-2.1,-2.5,-2.1,-1.9
24.96,-1.5,-2.1,-1.6,-1.9
25.92,-2.1,-2.6,-2.2,-2.2
26.88,-1.9,-2.4,-2.2,-2.2
27.84,-2.3,-2.7,-2.4,-2.5
28.8,-2.9,-2.9,-2.9,-2.9
29.76,-2.4,-2.4,-2.4,-2.4
30.72,-1.8,-2.2,-1.8,-1.9
31.68,-1.5,-2,-1.8,-1.6
32.64,-1.6,-2,-1.5,-1.6
33.6,-2.4,-2.8,-2.4,-2.5
34.56,-1.8,-1.9,-2,-2
35.52,-1.8,-2.2,-1.9,-1.8
36.48,-1.7,-2.4,-1.9,-2
37.44,-1.6,-2,-1.9,-1.7
38.4,-1.6,-2.4,-1.8,-1.7
39.36,-1.7,-2.1,-1.9,-2
40.32,-1.7,-2.3,-1.8,-1.9
41.28,-1.8,-2.4,-2.1,-2.1
42.24,-2,-2.4,-1.9,-2.2
43.2,-1.9,-2.1,-2,-2
44.16,-1.6,-1.9,-1.6,-1.6
45.12,-1.7,-2.1,-1.7,-2
46.08,-1.5,-2,-1.6,-1.7
47.04,-3.2,-3.1,-3.2,-2.8
48,-1.8,-2.3,-2,-1.8
48.96,-2.1,-2.3,-2.1,-1.8
49.92,-2.4,-2.8,-2.3,-2
50.88,-1.8,-2.3,-2,-1.9
51.84,-2.9,-2.9,-2.9,-2.4
52.8,-1.4,-1.9,-1.5,-1.6
53.76,-2.5,-2.7,-2.4,-2.2
54.72,-1.9,-2.2,-2,-1.7
55.68,-1.8,-1.9,-1.6,-1.5
56.64,-2.5,-2.8,-2.4,-2.2
57.6,-1.8,-2.2,-1.8,-1.8
58.56,-1.5,-2.2,-1.8,-1.7
59.52,-2.2,-2.5,-2,-1.9
60.48,-1.7,-2.1,-1.6,-1.9
61.44,-1.7,-2.2,-1.7,-1.6
62.4,-1.7,-2.3,-1.8,-1.9
63.36,-2.2,-2.6,-2.2,-2.2
64.32,-3.3,-3,-3.3,-2.5
65.28,-1.9,-2.4,-1.9,-2
66.24,-2.1,-2.2,-2.2,-1.6
67.2,-2,-2.4,-2.1,-2.1
68.16,-2.1,-2.3,-2,-2
69.12,-1.9,-2.6,-2,-2.1
70.08,-1.8,-2.5,-1.7,-2
71.04,-2,-2.5,-2.2,-2.3
72,-1.8,-2.3,-1.7,-1.8
72.96,-2.1,-2.6,-2.3,-2.1
73.92,-2.1,-2.6,-2.1,-2.2
74.88,-2.3,-2.9,-2.5,-2.4
75.84,-2.1,-2.6,-2.3,-2.3
76.8,-2.1,-2.5,-2.4,-2.5
77.76,-1.7,-2.4,-1.9,-2
78.72,-1.6,-2.2,-1.9,-1.9
79.68,-2.2,-2.6,-2.4,-2.1
80.64,-2.3,-2.6,-2.4,-2.2
81.6,-1.9,-2.4,-2,-1.9
82.56,-1.6,-2.1,-1.7,-2
83.52,-1.9,-2.5,-2.2,-2.2
84.48,-2.5,-2.5,-2.5,-2.2
85.44,-2,-2.5,-2.1,-2
86.4,-2,-2.5,-2.3,-2.1
87.36,-1.4,-2,-1.4,-1.6
88.32,-2.2,-2.6,-2.1,-2.2
89.28,-2.1,-2.4,-2,-2
90.24,-1.7,-2.3,-2,-1.8
91.2,-1.4,-2.1,-1.6,-1.5
92.16,-2.4,-2.6,-2.6,-2.3
93.12,-2.9,-3,-3,-2.4
94.08,-2,-2.7,-2.2,-2
95.04,-1.9,-2.6,-1.8,-1.8
96,-1.9,-2.3,-2,-1.8
96.96,-2,-2.6,-2.2,-2.4
97.92,-1.9,-2.4,-2,-1.9
98.88,-1.9,-2.5,-2.1,-2
99.84,-2,-2.5,-2,-2.1
100.8,-2,-2.6,-2.1,-2
101.76,-1.3,-2.2,-1.6,-1.7
102.72,-1.5,-2.2,-1.7,-1.6
103.68,-1.4,-2.1,-1.5,-1.7
104.64,-1.4,-2.1,-1.5,-1.7
105.6,-1.5,-2.2,-1.7,-1.8
106.56,-2,-2.4,-2.2,-1.8
107.52,-1.8,-2.5,-1.9,-2.1
108.48,-1.8,-2.3,-2,-2
109.44,-1.8,-2.3,-1.8,-2
110.4,-1.9,-2.4,-2,-2.1
111.36,-1.7,-2.3,-1.8,-1.9
112.32,-1.4,-2,-1.5,-1.8
113.28,-1.9,-2.5,-2.2,-1.9
114.24,-1.6,-2,-1.7,-1.9
115.2,-1.8,-2.4,-1.9,-1.8
116.16,-2.1,-2.5,-2,-1.9
117.12,-1.8,-2.6,-2,-2
118.08,-1.6,-2.3,-1.8,-2.1
119.04,-1.4,-2.1,-1.4,-1.7
120,-2,-2.7,-2.2,-2.5
120.96,-1.8,-2.5,-2.1,-2.2
121.92,-1.9,-2.4,-2,-2.1
122.88,-2.3,-2.8,-2.5,-2.5
123.84,-2.8,-3,-2.7,-2.3
124.8,-2.4,-2.4,-2.4,-2
125.76,-2,-2.6,-2.2,-2.3
126.72,-1.8,-2.4,-1.9,-2.1
127.68,-2.2,-2.6,-2.3,-2.2
128.64,-1.9,-2.4,-2,-2
129.6,-2.6,-2.6,-2.3,-2
130.56,-2.6,-2.7,-2.6,-2.1
131.52,-2.4,-2.4,-2.3,-1.9
132.48,-1.8,-2.3,-1.9,-2
133.44,-3.4,-3.2,-3.4,-2.5
134.4,-2.6,-2.5,-2.8,-1.9
135.36,-2.7,-2.7,-2.6,-2.2
136.32,-1.5,-2,-1.6,-1.7
137.28,-2.4,-2.5,-2.4,-1.9
138.24,-2.9,-3,-2.5,-2.4
139.2,-2,-2.7,-1.9,-2
140.16,-2.8,-2.8,-2.7,-2.2
141.12,-2.2,-2.4,-2.3,-1.7
142.08,-1.4,-2.1,-1.4,-1.6
143.04,-1.5,-2.2,-1.4,-1.7
144,-1.9,-2.1,-1.9,-1.6
