start_filetime,activation_ins_trill,activation_mech_plane,activation_ambient_rain,activation_ins_buzz
0,-2.2,-2.6,-2.2,-1.9
0.96,-2.1,-2.2,-1.9,-2.1
1.92,-1.9,-2.4,-2.1,-2.2
2.88,-2.5,-2.5,-2.5,-2.6
3.84,-2.5,-2.4,-2.4,-1.9
4.8,-2.4,-2.7,-2.1,-2.2
5.76,-2.3,-2.3,-2.4,-2.2
6.72,-3,-2.7,-3.2,-2.7
7.68,-3.1,-3,-2.9,-2.3
8.64,-2.4,-2.6,-2.1,-2.1
9.6,-2.1,-2.2,-2,-2
10.56,-2.9,-2.7,-2.9,-2.7
11.52,-2.9,-2.9,-2.8,-2.9
12.48,-2.2,-2.7,-2.1,-2.3
13.44,-2.9,-2.4,-2.6,-2.5
14.4,-2.6,-2.7,-2.3,-2.2
15.36,-2.1,-2.3,-2.1,-2
16.32,-2.2,-2.3,-2.2,-2.1
17.28,-2.5,-2.6,-2.7,-2.1
18.24,-2.2,-2.2,-2.1,-2
19.2,-2.5,-2.6,-2.6,-2.5
20.16,-2.6,-2.6,-2.6,-2.3
21.12,-2.6,-2.7,-2.5,-2.3
22.08,-1.8,-2.1,-1.9,-1.7
23.04,-2.5,-2.5,-2.3,-2.4
24,-2.2,-2.7,-2,-2
24.96,-1.9,-2.4,-2,-2.2
25.92,-2.2,-2.2,-2.1,-2.3
26.88,-2.1,-2.4,-2,-2.1
27.84,-2.2,-2.4,-2.1,-2.1
28.8,-3.4,-3.4,-3.8,-3.2
29.76,-2.2,-2.1,-2,-2.3
30.72,-2.1,-2.2,-2,-2.1
31.68,-2.6,-2.5,-2.5,-2.5
32.64,-1.9,-2.3,-2,-2.5
33.6,-2.2,-2.5,-2.3,-2.2
34.56,-2.4,-2.6,-2.4,-2.4
35.52,-1.8,-1.9,-2,-1.8
36.48,-2.2,-2.5,-1.9,-1.9
37.44,-1.8,-2.1,-1.5,-2
38.4,-2.3,-2.4,-1.9,-1.8
39.36,-2.4,-2.5,-2.4,-2.2
40.32,-2.3,-2,-2.3,-2
41.28,-2,-2.3,-2,-2
42.24,-1.5,-2,-1.5,-1.5
43.2,-2.2,-2,-2,-1.8
44.16,-2,-2.4,-2.1,-1.9
45.12,-2.2,-2.3,-2.3,-1.9
46.08,-2,-2.1,-2,-2
47.04,-2,-2,-1.8,-1.5
48,-2.5,-2.6,-2.1,-2.1
48.96,-2.6,-2.4,-2.4,-2.3
49.92,-2.6,-2.3,-2.7,-2.5
50.88,-3,-2.3,-2.9,-2.8
51.84,-2.4,-2.4,-2.1,-1.8
52.8,-2.1,-2.2,-2.4,-2.3
53.76,-2.5,-2.2,-2.6,-2.4
54.72,-2.6,-1.9,-2.6,-2.5
55.68,-2.6,-2.7,-2.9,-2.5
56.64,-2.9,-2.6,-2.8,-2.8
57.6,-2.6,-2.6,-3.2,-2.8
58.56,-3.1,-3,-3.4,-2.9
59.52,-2.8,-2.8,-3.5,-2.7
60.48,-2.3,-2.1,-2.4,-2.7
61.44,-2.7,-2.1,-2.7,-2.3
62.4,-3.2,-2.6,-3.2,-3
63.36,-2.4,-2,-2.5,-2.5
64.32,-2.8,-2.3,-2.9,-2.5
65.28,-3.4,-3,-3.7,-3.6
66.24,-2.4,-2.3,-2.5,-2.3
67.2,-3,-2.9,-3.5,-2.9
68.16,-2.9,-2.7,-3.2,-3
69.12,-2.3,-2.1,-2.4,-2.5
70.08,-2.3,-2,-2.5,-2.5
71.04,-2,-2.3,-2,-2
72,-3,-3.1,-3.4,-3
72.96,-1.9,-2,-2.2,-2.4
73.92,-2,-2,-2.2,-2.2
74.88,-2.3,-2.3,-2.3,-1.9
75.84,-1.9,-1.8,-2.1,-1.5
76.8,-2.5,-2.2,-2.7,-2.1
77.76,-2.7,-2.5,-2.5,-1.7
78.72,-2.4,-2.4,-2.5,-2.5
79.68,-2.1,-2.3,-2,-2.1
80.64,-2.1,-2.2,-2.1,-1.8
81.6,-2.4,-2.5,-2.6,-2.7
82.56,-2,-2.1,-2.1,-1.9
83.52,-2.9,-2.3,-2.8,-2.8
84.48,-2.4,-2.7,-2.6,-2.4
85.44,-2.3,-2.3,-2.1,-1.7
86.4,-2.5,-2.3,-2.6,-2.7
87.36,-2.5,-2.1,-2.3,-2.2
88.32,-2.4,-2.2,-2.5,-2.1
89.28,-2.7,-2.4,-2.7,-2.5
90.24,-2,-2.3,-2.4,-1.9
91.2,-2.5,-2.6,-2.5,-2
92.16,-2.1,-2.2,-2.3,-2
93.12,-2.4,-2.1,-2.2,-2.1
94.08,-2.3,-2.2,-2.1,-1.8
95.04,-2.4,-2.4,-2.2,-2.4
96,-2.2,-2.1,-1.8,-1.6
96.96,-2,-1.9,-2.1,-1.6
97.92,-2.4,-2.5,-2.3,-1.7
98.88,-1.7,-1.8,-1.4,-1.1
99.84,-2.1,-2.5,-2,-2.1
100.8,-2,-2.2,-1.9,-2
101.76,-2.4,-2.3,-2.2,-2
