start_filetime,activation_ins_trill,activation_mech_plane,activation_ambient_rain,activation_ins_buzz
0,-1.5,-2.1,-1.4,-1.9
0.96,-2.3,-2.5,-2.3,-2.1
1.92,-2.2,-2.4,-2,-1.8
2.88,-2.1,-2.4,-1.7,-1.7
3.84,-1.7,-2.2,-1.7,-1.7
4.8,-1.7,-2.1,-1.8,-1.7
5.76,-1.7,-2.8,-1.8,-2
6.72,-1.9,-2.5,-2.1,-2
7.68,-1.7,-2.4,-1.9,-1.9
8.64,-1.7,-2.3,-1.7,-1.8
9.6,-1.9,-2.4,-2,-2.1
10.56,-1.9,-2.3,-2,-1.9
11.52,-1.5,-2,-1.6,-1.7
12.48,-1.6,-2.3,-1.8,-1.8
13.44,-2,-2.4,-2,-2
14.4,-1.8,-2.1,-1.6,-1.9
15.36,-2.5,-2.4,-2.2,-2.4
16.32,-1.6,-2.1,-1.6,-1.9
17.28,-1.8,-2.3,-1.8,-1.8
18.24,-1.7,-2.3,-1.9,-1.9
19.2,-1.7,-2.2,-1.6,-1.9
20.16,-1.2,-1.9,-1.2,-1.6
21.12,-1.6,-2.3,-1.7,-2
22.08,-1.5,-2,-1.6,-1.6
23.04,-1.6,-2.1,-1.7,-1.8
24,-1.5,-1.8,-1.6,-1.8
24.96,-1.8,-2.5,-1.9,-2.1
25.92,-2.1,-2.9,-2.5,-2.7
26.88,-1.8,-2.3,-1.8,-1.9
27.84,-1.6,-2.1,-1.6,-1.7
28.8,-1.5,-2.2,-1.7,-1.7
29.76,-2.1,-2.4,-2,-2.4
30.72,-1.8,-2.5,-1.9,-2
31.68,-2.2,-2.6,-2.1,-2.2
32.64,-1.7,-2.2,-1.6,-1.9
33.6,-1.7,-2.2,-1.7,-2
34.56,-2.1,-2.7,-2.4,-2.3
35.52,-2.2,-2.6,-2.6,-2.5
36.48,-1.6,-2,-1.6,-1.6
37.44,-1.7,-2.2,-1.9,-1.7
38.4,-1.7,-2.1,-2,-1.7
39.36,-1.4,-2.1,-1.6,-1.7
40.32,-2,-2.4,-1.8,-1.9
41.28,-2,-2.4,-2,-1.9
