start_filetime,activation_ins_trill,activation_mech_plane,activation_ambient_rain,activation_ins_buzz
0,-3.1,-2.6,-2.6,-1.6
0.96,-2.3,-2.9,-2.6,-2.1
1.92,-3.6,-3.8,-3.6,-2.4
2.88,-3.2,-3.3,-3.3,-2.6
3.84,-3.6,-4.2,-3.9,-2.7
4.8,-3.4,-3.7,-3.8,-2.9
5.76,-4.2,-4.1,-3.6,-2.5
6.72,-5,-4.8,-4.3,-2.6
7.68,-2.9,-3.3,-3.2,-2
8.64,-5.5,-5.7,-5.3,-2.5
9.6,-3.9,-3.7,-3.3,-2.1
10.56,-4.4,-4.7,-4.5,-2.3
11.52,-4,-4.1,-4,-2.2
12.48,-4.3,-4.2,-3.9,-2.7
13.44,-2.9,-3.5,-3.4,-2.4
14.4,-4.2,-4.2,-4.4,-2.9
15.36,-3.9,-4.2,-3.8,-2.1
16.32,-4.2,-4.3,-4.6,-2.8
17.28,-3.3,-3.4,-3.2,-2.2
18.24,-4.8,-4.6,-4.7,-2.7
19.2,-3,-3.1,-3.5,-2.5
20.16,-3.6,-3.5,-3.9,-3
21.12,-2.9,-3,-3.3,-2.7
22.08,-4,-3.6,-3.6,-2.9
23.04,-2.3,-2.6,-2.8,-2.1
24,-2.4,-2.6,-2.7,-2.6
24.96,-2.5,-2.9,-2.8,-2.2
25.92,-2.5,-2.7,-2.9,-2.5
26.88,-3.4,-3.6,-3.6,-3
27.84,-3,-3.4,-3,-2.4
28.8,-3.8,-3.7,-3.7,-2.6
29.76,-4.2,-4.3,-4,-2.9
30.72,-3.6,-3.6,-3.7,-2.7
31.68,-4.2,-4.3,-3.9,-2.6
32.64,-3.5,-3.7,-3.4,-2.4
33.6,-4.1,-4.1,-3.9,-2.8
34.56,-4.4,-4.4,-4.1,-2.8
35.52,-4.8,-4.4,-4.3,-2.7
36.48,-4.3,-4.2,-3.8,-2.3
37.44,-3.9,-4.5,-3.8,-2.6
38.4,-3.6,-3.5,-3.7,-2.9
39.36,-4.5,-4.3,-4.2,-2.7
40.32,-4.5,-4.7,-4.2,-2.4
41.28,-5,-5.2,-5.2,-2.9
42.24,-3.3,-2.9,-3.4,-2.3
43.2,-4,-3.7,-3.6,-2.4
44.16,-3.9,-3.7,-3.9,-2.5
45.12,-3.2,-3.3,-3,-2.2
46.08,-3.4,-3.8,-3.1,-2.2
47.04,-3.5,-3.8,-3.6,-2.3
48,-3.8,-3.8,-3.8,-2.6
48.96,-3.1,-3.2,-2.9,-2.2
49.92,-3.7,-3.6,-3.8,-3
50.88,-3.6,-3.5,-3.4,-1.9
51.84,-4.5,-4.5,-4.4,-2.6
52.8,-4.9,-4.9,-4.7,-2.1
53.76,-3.8,-3.7,-3.7,-2.9
54.72,-3.5,-3.6,-3.6,-2.4
55.68,-4.7,-5.1,-4.6,-2.3
56.64,-4.3,-4.6,-4.1,-2.2
57.6,-4.7,-4.9,-4.4,-2.4
58.56,-4,-3.9,-3.8,-2.5
59.52,-3.9,-3.9,-3.6,-2
60.48,-3.5,-3.7,-3.7,-2.1
61.44,-3.9,-3.7,-3.6,-2.1
62.4,-4.3,-4.3,-3.9,-2.1
63.36,-3.2,-3.3,-3.1,-2
64.32,-4.5,-4.4,-3.9,-2.5
65.28,-3.8,-4.2,-4,-3
66.24,-4.7,-5,-4.7,-2.4
67.2,-4.7,-4.9,-4.5,-2.3
68.16,-4.3,-4.1,-3.7,-2.8
69.12,-4.4,-4.3,-4.1,-2.4
70.08,-3.4,-3.5,-3.4,-2.2
71.04,-5.2,-5.1,-4.8,-2.4
72,-4,-4.1,-4,-2.2
72.96,-3,-2.7,-2.7,-2.1
73.92,-5.6,-6.1,-5.6,-2.4
74.88,-4.6,-5.3,-5.2,-3
75.84,-4.7,-4.8,-4.8,-2.6
76.8,-3.9,-4.4,-3.6,-1.9
77.76,-4.4,-4.5,-4.4,-2.5
78.72,-4.7,-5.1,-4.7,-2.3
79.68,-3.5,-3.9,-4,-2.9
80.64,-4.8,-5.2,-5.2,-2.6
81.6,-3.9,-3.9,-3.9,-2.4
82.56,-5.2,-5.2,-5,-2.4
83.52,-3.8,-3.7,-3.7,-2.2
