"start","activation_ins_buzz","activation_ambient_rain","activation_ins_trill","activation_mech_plane"
5560.32,-2.4,-2.3,-2.7,-2.4
5561.28,-2.7,-2.9,-3.1,-2.7
5562.24,-2.8,-3,-3.4,-3
5563.2,-2.4,-2.5,-2.7,-2.5
5564.16,-2.6,-3,-3.3,-3
5565.12,-2.6,-2.7,-3,-2.8
5566.08,-2.9,-2.9,-3.3,-2.9
5567.04,-2,-2,-2.2,-2.2
5568,-2.2,-2.5,-2.4,-2.7
5568.96,-2.6,-2.6,-2.8,-2.7
5569.92,-2.8,-3.4,-3.3,-3.1
5570.88,-3.1,-3.2,-3.6,-3.2
5571.84,-2.7,-2.6,-2.9,-2.8
5572.8,-2.7,-2.8,-3,-2.7
5573.76,-2.4,-2.5,-2.7,-2.5
5574.72,-2.4,-2.5,-2.9,-2.5
5575.68,-2.6,-2.5,-2.8,-2.6
5576.64,-2.5,-2.7,-3.1,-2.8
5577.6,-2.5,-2.8,-2.9,-2.8
5578.56,-2.4,-2.6,-3.1,-2.8
5579.52,-3.3,-3.4,-3.6,-3.2
5580.48,-2.8,-2.8,-3.1,-2.9
5581.44,-3,-3.2,-3.6,-3.2
5582.4,-3.1,-3.1,-3.4,-3.2
5583.36,-2.3,-2.6,-2.7,-2.7
5584.32,-2.4,-2.2,-2.4,-2.4
5585.28,-2.2,-2.6,-2.9,-2.7
5586.24,-2.4,-2.9,-3.3,-3
5587.2,-2.7,-2.6,-3.1,-2.7
5588.16,-2.5,-2.4,-2.8,-2.5
5589.12,-2,-2.2,-2.4,-2.4
5590.08,-2.5,-2.9,-3,-2.9
5591.04,-2.2,-2.6,-2.5,-2.4
5592,-2.8,-2.9,-3,-2.7
5592.96,-2.3,-2.6,-2.7,-2.6
5593.92,-2.1,-2.5,-2.6,-2.5
5594.88,-1.4,-2,-2,-2.3
5595.84,-2.2,-2.4,-2.7,-2.5
5596.8,-2.5,-2.9,-3.4,-3
5597.76,-2.5,-2.5,-2.7,-2.4
5598.72,-2.5,-2.4,-2.8,-2.6
5599.68,-2.4,-2.7,-2.8,-2.7
5600.64,-2.2,-2.5,-2.7,-2.6
5601.6,-2.2,-2.9,-3,-2.8
5602.56,-2.6,-2.7,-3,-2.9
5603.52,-2.3,-2.8,-3,-2.7
5604.48,-1.6,-2,-2.1,-2.1
5605.44,-2.1,-2.4,-2.9,-2.5
5606.4,-2.2,-2.5,-2.4,-2.5
5607.36,-2.3,-3,-3.1,-3
5608.32,-2.5,-2.7,-3,-2.8
5609.28,-2.1,-2.6,-2.7,-2.7
5610.24,-2.5,-3,-3.1,-2.9
5611.2,-2.3,-2.8,-2.8,-2.8
5612.16,-2.1,-2.3,-2.4,-2.3
5613.12,-2.4,-2.5,-2.5,-2.5
5614.08,-2.7,-3,-3.1,-2.9
5615.04,-2.6,-2.6,-2.9,-2.6
5616,-2.3,-2.5,-2.6,-2.5
5616.96,-2.2,-2.6,-2.5,-2.6
5617.92,-2.7,-2.5,-2.8,-2.6
5618.88,-3.1,-3.1,-3.4,-3
5619.84,-2.4,-2.6,-2.9,-2.6
5620.8,-2.4,-2.2,-2.3,-2.2
5621.76,-2.7,-2.5,-2.8,-2.6
5622.72,-2.6,-2.8,-3.1,-2.6
5623.68,-2.5,-2.7,-2.7,-2.4
5624.64,-2.4,-2.7,-2.9,-2.6
5625.6,-2.4,-2.6,-2.8,-2.8
5626.56,-2.3,-2.6,-2.8,-2.7
5627.52,-2.3,-2.4,-2.6,-2.5
5628.48,-2.3,-2.7,-2.8,-2.7
5629.44,-2.3,-2.7,-2.7,-2.5
5630.4,-2.3,-2.4,-2.7,-2.4
5631.36,-2.2,-2.2,-2.5,-2.2
5632.32,-2.7,-2.9,-3.7,-3.1
5633.28,-2.8,-2.9,-3.3,-2.9
5634.24,-3.3,-4.2,-4.1,-3.9
5635.2,-1.9,-3.2,-2.8,-3.1
5636.16,-2.1,-2.7,-2.4,-2.6
5637.12,-1.6,-2.6,-2.5,-2.7
5638.08,-2.3,-3.1,-3.1,-3.2
5639.04,-2,-3.7,-3.8,-4.2
5640,-2.6,-2.4,-2.9,-2.7
5640.96,-2.4,-2.5,-2.9,-2.6
5641.92,-2.4,-2.3,-2.5,-2.3
5642.88,-1.6,-2.2,-2.5,-2.4
5643.84,-2.1,-2.3,-2.6,-2.5
5644.8,-2.1,-2.8,-2.9,-2.6
5645.76,-2.9,-3,-3.3,-3
5646.72,-2.4,-2.5,-2.7,-2.5
5647.68,-2.4,-2.5,-3.1,-2.6
5648.64,-2.7,-3.2,-3.6,-3.2
5649.6,-2.5,-2.6,-3.1,-2.8
5650.56,-2.2,-2.5,-2.8,-2.5
5651.52,-2.6,-2.8,-3.1,-2.9
5652.48,-2.4,-2.4,-2.5,-2.4
5653.44,-2.3,-2.6,-3,-2.7
5654.4,-2.4,-2.4,-2.6,-2.6
5655.36,-2.4,-2.4,-2.7,-2.5
5656.32,-2.4,-2.4,-2.7,-2.5
5657.28,-2.7,-2.8,-3.1,-2.9
5658.24,-2.7,-2.8,-3.3,-2.8
5659.2,-2.1,-2.4,-2.8,-2.4
5660.16,-2.7,-2.6,-3.2,-2.8
5661.12,-2.5,-2.9,-2.9,-2.8
5662.08,-2.5,-2.6,-2.9,-2.6
5663.04,-2.8,-2.8,-3,-2.8
5664,-2.5,-2.7,-3,-2.6
5664.96,-2.4,-2.4,-2.6,-2.2
5665.92,-2.5,-2.6,-2.7,-2.6
5666.88,-2.1,-2.3,-2.3,-2.3
5667.84,-2,-2.2,-2.5,-2.2
5668.8,-3,-2.9,-3.4,-2.9
5669.76,-3,-3.6,-3.6,-3.6
5670.72,-2.2,-3.3,-3.3,-3.4
5671.68,-2.2,-2.4,-2.1,-2.5
5672.64,-2.4,-3.2,-2.8,-3
5673.6,-2.2,-2.1,-2.1,-2.5
5674.56,-2.5,-3.3,-3.3,-3.3
5675.52,-2.3,-2.5,-2.3,-2.5
5676.48,-2.7,-2.9,-3,-3.2
5677.44,-2.7,-2.8,-3,-2.8
5678.4,-2.5,-2.7,-3.2,-2.9
5679.36,-2.5,-4.2,-4,-4.5
5680.32,-2.6,-2.8,-2.7,-2.9
5681.28,-2.3,-2.7,-2.8,-3.1
5682.24,-2.1,-2.2,-2.3,-2.6
5683.2,-1.8,-1.6,-2,-2.2
5684.16,-2.5,-3,-3.1,-3.2
5685.12,-2.4,-2.8,-3.2,-2.7
5686.08,-2.5,-3,-3.4,-3.6
5687.04,-2.2,-2.4,-2.2,-2.8
5688,-2.2,-2.5,-2.7,-2.8
5688.96,-1.8,-2.3,-2.2,-2.7
5689.92,-2.6,-2.5,-2.3,-2.9
5690.88,-2.2,-2.3,-2.6,-2.4
5691.84,-2.3,-2.7,-2.8,-2.5
5692.8,-2.7,-2.6,-3,-2.6
5693.76,-2.4,-2.6,-3,-2.6
5694.72,-2.6,-2.5,-3,-2.7
5695.68,-3.4,-3.6,-3.7,-3.8
5696.64,-2.4,-2.7,-2.3,-2.7
5697.6,-2.5,-2.7,-2.5,-2.8
5698.56,-3.4,-3.3,-3.1,-3.6
5699.52,-3.1,-3.6,-3.7,-3.9
5700.48,-2.4,-3.1,-3.2,-3.1
5701.44,-3.4,-3.8,-3.6,-3.9
5702.4,-2.7,-2.7,-3,-2.7
5703.36,-2.5,-2.9,-3.3,-3
5704.32,-2.3,-2.5,-2.9,-2.8
5705.28,-3.2,-3.5,-3.6,-3.8
5706.24,-2.3,-3,-2.8,-2.9
5707.2,-2.2,-2.4,-2.4,-2.7
5708.16,-2.3,-2.8,-2.5,-2.8
5709.12,-2.2,-2.7,-2.4,-2.8
5710.08,-1.8,-3,-3.2,-3.1
5711.04,-1.9,-3.6,-3.4,-3.2
5712,-2.3,-3,-2.7,-2.9
5712.96,-3.3,-4.1,-4,-4.1
5713.92,-2.4,-2.9,-3.1,-3
5714.88,-1.9,-3.4,-3.4,-3.8
5715.84,-2.7,-3.4,-3,-3.2
5716.8,-2,-2.8,-2.8,-2.8
5717.76,-3.4,-3.8,-3.6,-3.8
