start_filetime,activation_ins_trill,activation_mech_plane,activation_ambient_rain,activation_ins_buzz
0,-3,-3.5,-3.4,-3.4
0.96,-2.9,-3.2,-3.1,-3.1
1.92,-3.4,-3.6,-3.1,-2.7
2.88,-3.1,-3.1,-2.9,-3.2
3.84,-2.9,-3.2,-3,-3.1
4.8,-2.6,-3.6,-2.9,-2.9
5.76,-3,-3.1,-2.8,-2.9
6.72,-3.4,-3.5,-3.5,-3.1
7.68,-2.9,-3.5,-2.5,-2.7
8.64,-3.1,-3.2,-2.9,-2.8
9.6,-2.7,-2.6,-2.6,-2.9
10.56,-3,-3.1,-2.9,-2.9
11.52,-3.3,-3.6,-3.3,-3.5
12.48,-3.3,-3.3,-3.3,-3.3
13.44,-2.9,-3.5,-3.1,-3.2
14.4,-2.8,-2.9,-2.8,-3.1
15.36,-3,-3.2,-2.9,-3.2
16.32,-3.2,-3.2,-3,-2.8
17.28,-2.8,-2.9,-2.6,-3
18.24,-3.3,-3.8,-3.2,-2.3
19.2,-4.4,-4.4,-4.4,-3.2
20.16,-3.6,-3.5,-3.4,-2.5
21.12,-3.5,-3.7,-3.3,-3.1
22.08,-2.5,-3.1,-2.6,-2.8
23.04,-3,-3.5,-3,-3.1
24,-3.4,-4.2,-4,-3.5
24.96,-3.2,-3.2,-3.2,-2.9
25.92,-2.3,-2.8,-2.4,-2.6
26.88,-3.5,-3.9,-3.8,-4.1
27.84,-3.4,-3.7,-3.3,-3.1
28.8,-3.3,-3.8,-3.4,-3.7
29.76,-3.6,-4.7,-4,-3.7
30.72,-4.4,-5.3,-4.6,-4.3
31.68,-2.3,-3,-2.5,-2.8
32.64,-2.6,-3.6,-2.5,-2.6
33.6,-3.3,-3.1,-3.1,-3.2
34.56,-3.7,-4.8,-4,-3.5
35.52,-3.5,-3.4,-3,-2.3
36.48,-2.9,-3.3,-3,-3.1
37.44,-3.4,-4,-3.8,-3.7
38.4,-4.1,-5.2,-4.5,-4
39.36,-3.2,-3.7,-3.2,-3.1
40.32,-2.5,-3.1,-2.5,-2.3
41.28,-3.5,-4.5,-3.7,-3.8
42.24,-2.9,-3.3,-2.7,-2.8
43.2,-3.4,-4.1,-3.3,-3.4
44.16,-3.3,-3.5,-3.1,-3.5
45.12,-3.5,-4.3,-3.8,-3.9
46.08,-3.7,-4.5,-4.2,-3.7
47.04,-2.6,-3,-2.6,-2.7
48,-2.8,-3.1,-2.3,-2.1
48.96,-4.8,-5.5,-5,-3.3
49.92,-3,-3.4,-2.7,-2.3
50.88,-3.3,-3.3,-3,-2.5
51.84,-2.9,-3.8,-3,-2.9
52.8,-3.2,-3.3,-2.9,-2.6
53.76,-3.1,-4.2,-3.2,-3.1
54.72,-3.3,-3.7,-3.1,-2.4
55.68,-3.7,-4,-3.3,-2.1
56.64,-3.8,-4.9,-4.4,-3.4
57.6,-3.3,-4.8,-3.4,-3.5
58.56,-3.6,-4.4,-3.6,-3
59.52,-4.2,-5,-4.4,-4
60.48,-3.9,-4.4,-3.8,-2.5
61.44,-3.9,-4.7,-3.4,-2.5
62.4,-4,-3.5,-3.5,-3.6
63.36,-3.9,-4.7,-4.2,-3.4
64.32,-3.2,-3.3,-3,-2.9
65.28,-2.8,-2.8,-2.7,-2.5
66.24,-4,-5,-4.4,-3.2
67.2,-3,-3.6,-2.9,-2.4
68.16,-3.5,-4.2,-3.6,-3.7
69.12,-3.6,-3.2,-3.2,-3.1
70.08,-3.1,-3,-2.8,-2.9
71.04,-3.9,-4,-4.2,-3.5
72,-3.7,-4.2,-3.9,-2.6
72.96,-3.7,-4.2,-3.4,-3.3
73.92,-3,-3.2,-2.6,-2.7
74.88,-4.9,-5.3,-4.4,-3.1
75.84,-6.1,-6.4,-5.4,-3.7
76.8,-2.8,-3.3,-2.4,-2.4
77.76,-5.8,-6.1,-5.7,-3.9
78.72,-4.4,-4.7,-4.9,-3.6
79.68,-2.6,-2.9,-2.2,-2.3
80.64,-3.2,-3.9,-3.2,-2.9
81.6,-3.8,-4.2,-4,-3.5
82.56,-3.2,-3.6,-3.4,-3.4
83.52,-3.4,-3.8,-3.1,-2.8
84.48,-2.9,-3.4,-2.8,-2.6
85.44,-3.7,-3.9,-3.3,-2.9
86.4,-2.6,-3.1,-2.5,-2
87.36,-3,-3.3,-3.3,-2.7
88.32,-3.9,-5,-3.3,-3
89.28,-3.2,-4.4,-2.9,-3.1
90.24,-3.1,-3.6,-3,-3.1
91.2,-3,-3.6,-2.8,-2.8
92.16,-3.6,-3.6,-3.4,-3.2
93.12,-3.9,-4.6,-4.1,-3.5
94.08,-3.5,-3.6,-3.1,-2.7
95.04,-3.4,-3.6,-3.5,-2
96,-4.4,-4.8,-4.6,-2.8
96.96,-3.7,-3.3,-3.5,-3.2
97.92,-2.9,-3.9,-2.8,-2.6
98.88,-3.3,-3,-2.9,-2.8
99.84,-2.5,-2.7,-2.4,-2.7
100.8,-2.3,-2.8,-2.4,-2.4
101.76,-3.1,-3.3,-3.1,-3.1
102.72,-3.3,-3.2,-3.1,-3.2
103.68,-2.8,-2.9,-2.4,-2.5
104.64,-2.7,-3.2,-2.9,-2.4
105.6,-3.1,-3.2,-3,-2.5
106.56,-3.4,-4.3,-3.2,-3.4
107.52,-3.2,-3.3,-2.7,-2.8
108.48,-3.2,-4.1,-3.3,-3.5
109.44,-3.3,-3.5,-3,-3.2
110.4,-3.6,-4.3,-3.1,-3.4
111.36,-4.4,-4.4,-4.2,-2.9
112.32,-3,-3.2,-2.4,-2
113.28,-3.1,-3,-2.9,-2.3
114.24,-2.2,-2.6,-2.1,-2.5
115.2,-3.1,-3.7,-2.9,-2.5
116.16,-4.7,-5.2,-5.1,-3.5
117.12,-4.3,-5.3,-4.7,-3.7
118.08,-3.6,-3.6,-3.6,-2.7
119.04,-3.4,-3.5,-2.4,-2.7
120,-4.1,-4.4,-4.1,-3.9
120.96,-3.4,-3.9,-3.5,-3.6
121.92,-2.9,-3.3,-3.1,-2.9
122.88,-3.2,-4.1,-3.5,-3.7
123.84,-2.8,-3,-2.8,-2.8
124.8,-3.2,-3.9,-3.2,-3.8
