start_filetime,activation_ins_trill,activation_mech_plane,activation_ambient_rain,activation_ins_buzz
0,-1.6,-2.4,-2,-1.9
0.96,-2.1,-2.8,-2.2,-2.3
1.92,-2.2,-2.6,-2,-2
2.88,-2.7,-3.7,-3,-2.6
3.84,-4,-5.1,-4.2,-3.8
4.8,-3.4,-4.4,-3.8,-3.6
5.76,-3.1,-2.5,-2.8,-2.8
6.72,-2.2,-2.3,-2.3,-2.2
7.68,-4.1,-4.7,-4.5,-4.3
8.64,-4,-4.7,-4.2,-4
9.6,-3.3,-3.5,-3.3,-3
10.56,-3.3,-4.1,-2.9,-3.1
11.52,-3.6,-3.2,-3,-3
12.48,-3.5,-4.9,-4.1,-3.6
13.44,-3.7,-4.8,-4.3,-3.9
14.4,-3.3,-4,-3.6,-3.6
15.36,-2.9,-3,-2.9,-3.1
16.32,-3.2,-3.1,-2.5,-2.4
17.28,-2.5,-2.7,-2.4,-2.5
18.24,-2.5,-2.8,-2.5,-2.3
19.2,-3.4,-3.8,-3.5,-3.2
20.16,-3.6,-4,-3.8,-3.2
21.12,-3.6,-4.8,-4,-3.9
22.08,-3.5,-4.8,-4.1,-3.5
23.04,-4.1,-4.8,-4.4,-3.7
24,-3.6,-3.8,-3.9,-3.3
24.96,-3.2,-3.5,-3.1,-3.3
25.92,-2.6,-3.2,-2.5,-2.5
26.88,-2.9,-3.6,-3.1,-3.5
27.84,-3.7,-4.8,-3.5,-3.4
28.8,-3.1,-3.2,-2.8,-2.5
29.76,-3.5,-3.3,-2.5,-2
30.72,-2.8,-2.8,-2.6,-2.7
31.68,-2.9,-3.4,-2.9,-2.8
32.64,-3.3,-3.3,-3.1,-2.5
33.6,-3.1,-2.8,-2.6,-2.6
34.56,-2.9,-2.7,-2.4,-2.5
35.52,-3.8,-3.4,-3.6,-3.4
36.48,-3.1,-3.4,-3.1,-2.9
37.44,-2.7,-2.8,-2.8,-2.9
38.4,-3,-3,-2.9,-2.8
39.36,-2.1,-2.9,-1.7,-1.8
40.32,-3.2,-3,-2.9,-2.4
41.28,-4.4,-4.7,-4.7,-4.6
42.24,-2.4,-2.8,-2.5,-2.6
43.2,-3.1,-3.2,-3,-3.1
44.16,-3.9,-3.5,-3.3,-3
45.12,-2.7,-2.5,-2.4,-2.6
46.08,-3.2,-3.2,-3.1,-3.3
47.04,-2.6,-2.5,-2.5,-2.8
48,-3.3,-3.2,-3,-2.8
48.96,-2.3,-2.4,-2.4,-2.5
