start_filetime,activation_ins_trill,activation_mech_plane,activation_ambient_rain,activation_ins_buzz
0,-3.6,-4.1,-4,-4.2
0.96,-2.7,-2.5,-2.4,-2.6
1.92,-3.6,-3.5,-3.6,-3.9
2.88,-3.3,-4.1,-3.7,-3.7
3.84,-2.9,-2.9,-2.7,-3
4.8,-3.8,-4.6,-3.9,-4.3
5.76,-3.8,-4.8,-4.3,-4.3
6.72,-3.7,-4.5,-3.9,-3.5
7.68,-2.9,-3.4,-3,-2.8
8.64,-3,-3.4,-3.1,-3.4
9.6,-2.9,-3.5,-3,-3.3
10.56,-3.5,-4.1,-3.7,-3.7
11.52,-3.9,-5,-4.6,-4.5
12.48,-4,-4.3,-4.1,-4.4
13.44,-3.1,-3.5,-3.2,-3.1
14.4,-2.9,-2.8,-2.8,-2.8
15.36,-3.7,-3.5,-3.4,-3.8
16.32,-3.4,-3.7,-3.8,-3.4
17.28,-3.1,-3.5,-3.1,-3.6
18.24,-3.2,-3.4,-3.1,-3.8
19.2,-3.7,-5.1,-4.6,-4
20.16,-4,-4.9,-4.6,-4.4
21.12,-3.2,-4.2,-3.9,-3.5
22.08,-3,-3.3,-3,-3.3
23.04,-3.1,-3.6,-3.2,-3.6
24,-3.2,-4.3,-3.8,-3.7
24.96,-3.8,-4.3,-4.2,-4.5
25.92,-3,-4.2,-3.4,-3
26.88,-3,-3.6,-3.1,-3.2
27.84,-2.9,-3.1,-2.9,-3.1
28.8,-3.5,-4.3,-4.2,-3.8
29.76,-3.2,-3.8,-3.3,-3.6
30.72,-3,-3.8,-3.3,-3.6
31.68,-2.7,-3.4,-2.8,-2.8
32.64,-2.9,-3.5,-3.3,-3
33.6,-3.6,-3.6,-3.5,-3.3
34.56,-2.9,-3.4,-3.1,-3.7
35.52,-3.9,-5,-4.3,-4
36.48,-3.9,-5,-4.3,-3.9
37.44,-3.3,-4,-3.1,-2.8
38.4,-3,-3.2,-2.9,-3.2
39.36,-2.9,-3.1,-2.8,-2.9
40.32,-2.8,-3.2,-2.9,-3.3
41.28,-2.4,-2.5,-2.5,-3.1
42.24,-3,-3,-2.9,-2.9
43.2,-2.7,-2.8,-2.8,-2.8
44.16,-2.7,-3,-2.8,-2.8
45.12,-3.6,-3.5,-3.4,-3.8
46.08,-3.9,-4,-3.9,-3.9
47.04,-3.1,-3.7,-3.3,-3.6
48,-3.2,-4,-3.4,-3.4
48.96,-3.2,-4,-3.3,-3.4
49.92,-2.8,-3.5,-2.8,-3.1
50.88,-2.7,-3,-2.8,-2.7
51.84,-3,-3.1,-2.8,-3
52.8,-3.1,-3.4,-3.2,-3.4
53.76,-3.5,-3.9,-3.4,-3.6
54.72,-2.6,-2.8,-2.5,-3
55.68,-3.1,-3.2,-3.1,-3.5
56.64,-2.8,-2.8,-2.7,-2.9
57.6,-2.7,-2.9,-2.6,-2.9
58.56,-2.8,-3.4,-3,-3.6
59.52,-3.5,-3.4,-3.5,-3.1
60.48,-3.8,-4.3,-4.3,-4.3
61.44,-2.9,-3.4,-3,-3.7
62.4,-2.8,-3.5,-3,-3.5
63.36,-2.9,-2.9,-2.8,-3.1
64.32,-3.2,-2.8,-3,-3
65.28,-3.4,-3.5,-3.3,-3.7
66.24,-3.2,-3.2,-3,-3.2
67.2,-3,-3,-2.8,-3.2
68.16,-2.9,-3,-3.1,-3.4
69.12,-2.9,-3.1,-2.9,-3.2
70.08,-2.6,-2.8,-2.7,-3.1
71.04,-3.2,-3.3,-3,-3.4
72,-3.3,-3.4,-3.7,-3.7
72.96,-3.5,-4.1,-3.4,-3.4
73.92,-3.3,-4.1,-3.6,-3.9
74.88,-3.2,-3.9,-3.3,-3.1
75.84,-3.6,-4.8,-4.1,-3.9
76.8,-3.9,-5.2,-4.1,-3.7
77.76,-3,-3.8,-3.1,-3
78.72,-2.7,-2.6,-2.5,-2.8
79.68,-2.6,-2.7,-2.5,-3
80.64,-3.2,-3.7,-3.8,-3.6
81.6,-2.9,-3.5,-3,-3.4
82.56,-2.4,-2.5,-2.4,-2.5
83.52,-3.5,-4.2,-3.9,-3.6
84.48,-3.3,-4.3,-3.7,-3.7
85.44,-4.3,-5.6,-4.3,-3.6
86.4,-3.2,-3.2,-2.5,-2.3
87.36,-3.6,-4.9,-4.1,-3.9
88.32,-2.8,-3,-2.8,-3.5
89.28,-3.7,-4.3,-3.9,-4.2
90.24,-3.9,-4.1,-3.9,-4.4
91.2,-3.5,-4.4,-4,-4.1
92.16,-2.8,-3,-2.8,-3.4
93.12,-2.9,-3.6,-3,-3
94.08,-2.9,-4.1,-2.9,-3
95.04,-4,-5.2,-4.2,-3.6
96,-4.1,-4.3,-4.4,-4.2
96.96,-2.8,-3.1,-3.1,-3.1
97.92,-2.7,-3.2,-3.1,-2.9
98.88,-2.9,-3.1,-2.6,-2.6
99.84,-2.9,-3,-3,-3.2
100.8,-3.8,-4.1,-3.8,-4
101.76,-3.2,-3,-2.5,-2.9
102.72,-3.5,-3.9,-3.3,-3
103.68,-4.6,-6.2,-4.9,-4
104.64,-4.6,-5.4,-4.8,-3.8
105.6,-3.2,-3.5,-3.4,-3.5
106.56,-3.6,-4.1,-3.8,-4
107.52,-3,-3,-2.8,-2.8
108.48,-2.9,-2.9,-2.8,-2.7
109.44,-3.3,-3.5,-3.5,-3.4
110.4,-2.6,-2.7,-2.6,-3
111.36,-3.1,-3.6,-3.3,-3.9
112.32,-3.9,-3.6,-3.3,-3.5
113.28,-4.1,-4.2,-4.2,-4.3
114.24,-3.6,-3.8,-3.6,-3.9
115.2,-3.5,-4.2,-3.7,-3.9
116.16,-3.7,-4.6,-4.1,-4.1
117.12,-3.4,-4.3,-3.4,-3.5
118.08,-4.1,-4.5,-4.2,-3.9
119.04,-2.9,-3.2,-2.9,-3.2
