start_filetime,activation_ins_trill,activation_mech_plane,activation_ambient_rain,activation_ins_buzz
0,-2.7,-3.3,-3.1,-3.3
0.96,-3.5,-4.6,-3.7,-3.6
1.92,-3.5,-4.8,-3.4,-2.8
2.88,-3,-3.6,-3.1,-3.3
3.84,-3,-3.2,-3,-3
4.8,-2.8,-3.2,-3,-2.8
5.76,-2.4,-3.5,-2.1,-2.5
6.72,-4,-4.9,-4.1,-3.1
7.68,-3.7,-4.1,-3.9,-3.5
8.64,-4.1,-5,-4.2,-3.2
9.6,-3.3,-3.6,-3.4,-2.9
10.56,-2.6,-3.3,-2,-2
11.52,-3.6,-5,-3.9,-3.8
12.48,-3.1,-3.9,-2.7,-2.6
13.44,-2.9,-3.5,-3,-2.6
14.4,-3.8,-3.6,-3.7,-3.7
15.36,-3,-3.2,-2.8,-3
16.32,-2.9,-3.4,-2.8,-2.9
17.28,-3.2,-3.9,-3,-2.9
18.24,-2.9,-3.5,-2.7,-2.6
19.2,-2.8,-3.4,-2.8,-2.9
20.16,-3.7,-4.8,-4.3,-3.7
21.12,-3.4,-4.3,-3.2,-3
22.08,-3.1,-3.8,-2.8,-2.3
23.04,-3.5,-4.3,-3.6,-3.3
24,-3.2,-3.3,-3,-2.9
24.96,-3.1,-3.4,-3.1,-2.5
25.92,-3.4,-3.4,-3.5,-3.6
26.88,-4.5,-4.7,-4.6,-4.9
27.84,-2.8,-3.3,-2.4,-2.6
28.8,-3.2,-4.1,-3,-2.8
29.76,-3.8,-4.5,-3.6,-2.9
30.72,-3,-3.5,-3,-3
31.68,-4,-4.8,-3.4,-3.1
32.64,-3.9,-4.4,-3.2,-2.5
33.6,-4,-4.9,-4.1,-3.2
34.56,-3.1,-4.4,-3.2,-3.1
35.52,-3.2,-4.2,-3.2,-3.2
36.48,-4.7,-5,-4.3,-3.1
37.44,-4.4,-5.2,-4.7,-4.2
38.4,-3.6,-4.4,-3.5,-3.6
39.36,-5.3,-6.7,-5.6,-4.3
40.32,-4.7,-6.4,-4.4,-4.2
41.28,-3.2,-3.9,-2.6,-2.6
42.24,-3.1,-3.8,-2.8,-2.8
43.2,-4.7,-5.5,-4.4,-3.5
44.16,-3.4,-4.4,-3.5,-3.2
45.12,-4,-4.9,-4.2,-3.6
46.08,-3,-4,-3.3,-3.2
47.04,-3.3,-4.2,-2.7,-2.8
48,-2.4,-2.6,-2.3,-2.5
48.96,-3.2,-4.1,-3.2,-3.3
49.92,-4.1,-4.7,-4,-2.6
50.88,-3.1,-3.2,-3.2,-3.5
51.84,-4.3,-5,-4,-3.4
52.8,-4.2,-5.4,-4.3,-3.7
53.76,-3.8,-4.7,-4.1,-3.8
54.72,-3.8,-4.7,-3.8,-3.5
55.68,-3.5,-3.7,-3.6,-3.3
56.64,-3.6,-4.2,-3.6,-3.1
57.6,-3.8,-5.1,-4.1,-3.7
58.56,-2.7,-3.6,-2.9,-2.6
59.52,-3.1,-4,-3.1,-3.1
60.48,-3.5,-3.8,-3.5,-3.1
61.44,-3.3,-4,-3.3,-3
62.4,-3.8,-4.6,-4.3,-3.6
63.36,-3.5,-4.2,-3.8,-3.4
64.32,-2.8,-3.2,-2.9,-3
65.28,-3.7,-4.4,-3.9,-3.6
66.24,-3.2,-3.7,-3.3,-3.1
67.2,-3,-3.4,-2.9,-3.3
68.16,-2.6,-3,-2.6,-2.6
69.12,-3.6,-3.3,-3,-3.2
70.08,-3,-3.4,-3.1,-3.1
71.04,-2.9,-3.3,-2.6,-2.6
72,-3,-2.9,-2.6,-2.9
72.96,-2.5,-2.9,-2.3,-2.2
73.92,-2.9,-3.2,-2.1,-2.1
74.88,-3.5,-3.4,-3.3,-2.8
75.84,-3.3,-3.6,-3.2,-3
76.8,-3.2,-2.9,-3,-2.5
77.76,-3.6,-4.4,-3.6,-3.2
78.72,-3.4,-3.6,-3.1,-2.7
79.68,-3,-2.6,-2.5,-2
80.64,-3.3,-2.9,-2.8,-2
81.6,-3.6,-3.1,-3.2,-2.6
82.56,-2.8,-2.8,-1.9,-1.9
83.52,-3.3,-3.2,-3.3,-2.9
84.48,-3.1,-2.7,-2.4,-1.9
85.44,-2.6,-2.3,-1.8,-2
86.4,-2.7,-2.7,-2.4,-2.1
87.36,-3.1,-3.2,-2.5,-2.2
88.32,-3,-3.1,-2.6,-2.1
89.28,-2.9,-2.7,-2.1,-1.8
90.24,-2.8,-2.9,-2,-2.3
91.2,-3,-3.2,-2.4,-2.4
92.16,-3,-2.6,-2.5,-2.1
93.12,-2.6,-2.5,-2,-1.8
94.08,-3.9,-3.3,-3.2,-2.8
95.04,-2.7,-2.7,-2,-2.1
96,-2.9,-2.9,-2.1,-2
96.96,-3,-2.6,-2.6,-2.6
97.92,-3.2,-3.4,-2.9,-2.5
98.88,-4,-3.9,-3.6,-3.1
99.84,-3,-3,-2.5,-2.3
100.8,-2.9,-3.1,-2.8,-2.4
101.76,-3.2,-3,-2.8,-2.2
102.72,-3.5,-3.3,-3,-2.8
103.68,-2.3,-2.4,-1.9,-1.7
104.64,-3,-2.2,-2.6,-2.2
105.6,-3.6,-3.2,-3.6,-2.8
106.56,-3.4,-3.3,-3,-3
107.52,-2.9,-3.2,-2.9,-2.2
108.48,-3.5,-3.6,-3.4,-2.9
109.44,-3.4,-3.2,-2.9,-2.5
110.4,-3.1,-3.1,-3.2,-2.2
111.36,-3.6,-4.1,-3.5,-3.3
112.32,-3,-3,-2.8,-2.5
113.28,-4.1,-4.6,-4.3,-4
114.24,-3,-3,-2.9,-2.3
115.2,-3.6,-3.6,-3.6,-3.1
116.16,-3.2,-3.2,-3.1,-2.5
117.12,-3.6,-4,-3.5,-3
118.08,-3.4,-4.1,-3.6,-3.3
119.04,-3.2,-3.4,-3.3,-2.4
120,-3.7,-4,-3.6,-3
120.96,-2.9,-3.1,-3.2,-2.2
121.92,-3.3,-3.8,-3.3,-3.1
122.88,-3,-3.5,-2.8,-2.6
123.84,-3.5,-3.6,-3.6,-3.6
124.8,-2.8,-3.3,-2.9,-2.8
125.76,-2.9,-3.6,-3.2,-3.1
126.72,-3.6,-4.1,-4,-3.5
127.68,-3.8,-3.8,-3.8,-2.8
128.64,-3.4,-3.4,-3.6,-3.1
129.6,-4.1,-4.7,-3.8,-3.4
130.56,-3.2,-3.7,-3.6,-3.2
131.52,-3.3,-4.2,-3.3,-3.4
132.48,-3,-3.6,-3,-2.8
133.44,-2.9,-3.3,-2.5,-2.5
134.4,-3.6,-5.3,-3.8,-4.2
135.36,-3.2,-4.1,-2.8,-2.9
136.32,-3.4,-3.9,-3.2,-3.1
137.28,-3.1,-3.4,-2.9,-2.9
138.24,-3,-3.5,-3,-2.9
139.2,-3.2,-3.9,-3.4,-3
140.16,-2.9,-3.4,-2.8,-2.5
141.12,-2.5,-3.4,-2.3,-2.4
142.08,-2.9,-3,-3,-3
143.04,-2.8,-3.5,-2.8,-2.5
144,-2.5,-3,-2.7,-3
144.96,-3.3,-3.7,-3.5,-3.1
145.92,-2.7,-3.5,-2.9,-2.6
146.88,-3.1,-4.2,-3.5,-2.7
147.84,-3.2,-3.6,-3.2,-2.8
148.8,-3.2,-4.1,-3.3,-3
149.76,-2.6,-3.5,-2.8,-2.7
150.72,-2.8,-3.3,-2.7,-2.2
151.68,-3.2,-3.6,-3.6,-3.3
152.64,-3.1,-3.3,-3.1,-3
153.6,-2.9,-3.3,-2.5,-2.5
154.56,-3.1,-3.6,-3,-2.6
155.52,-2.7,-3.2,-2.4,-2.2
156.48,-2.9,-3.3,-2.8,-2.8
157.44,-2.4,-3,-2.4,-2.2
158.4,-2.5,-3.5,-2.4,-2
159.36,-2.9,-3.6,-3,-3.1
160.32,-3.3,-4.2,-3.5,-3.5
161.28,-3.9,-4.6,-4,-3
162.24,-2.5,-3.4,-2.9,-2.4
163.2,-2.6,-3.9,-2.5,-2.4
164.16,-3.6,-4,-3.4,-3.2
165.12,-3.2,-3.9,-3.3,-3
166.08,-3.2,-4.1,-2.9,-2.3
167.04,-3.4,-4.2,-3.1,-2.8
168,-2.6,-3.2,-2.6,-2.5
168.96,-3,-3.6,-2.8,-2.4
169.92,-3.2,-4.1,-3.2,-3.3
170.88,-3.1,-3.6,-2.8,-2.9
171.84,-3.4,-3.5,-3.3,-3.4
172.8,-2.7,-3,-2.4,-2.9
173.76,-2.5,-2.8,-2.3,-2.4
174.72,-3,-3,-2.9,-3.2
175.68,-2.7,-3.3,-2.7,-2.7
176.64,-2.8,-3.3,-2.5,-2.7
177.6,-3.2,-3.5,-3.1,-3.2
