start_filetime,activation_ins_trill,activation_mech_plane,activation_ambient_rain,activation_ins_buzz
0,-3.6,-4.3,-4.1,-4.2
0.96,-2.8,-3.4,-2.7,-3.1
1.92,-3.4,-4.1,-3.4,-3.2
2.88,-3.4,-3.8,-3.4,-3.1
3.84,-2.8,-3.8,-3,-3
4.8,-2.6,-3.7,-2.6,-2.9
5.76,-2.4,-3.4,-2.6,-2.7
6.72,-1.9,-2.4,-2,-2.3
7.68,-2.7,-3.1,-2.7,-2.6
8.64,-2.6,-2.8,-2.5,-2.5
9.6,-3.1,-4,-2.9,-3.1
10.56,-2.9,-3.2,-3.3,-3.5
11.52,-2.9,-3.1,-3,-3.1
12.48,-2.4,-2.5,-2.3,-2.6
13.44,-2.4,-2.9,-2.5,-2.6
14.4,-2.6,-2.9,-2.6,-2.6
15.36,-3.1,-3.5,-3,-3.3
16.32,-3.3,-3.6,-3.2,-3.1
17.28,-3.2,-3.4,-3.1,-3.2
18.24,-3.2,-3.2,-3.2,-2.9
19.2,-2.8,-3.8,-3,-3.2
20.16,-2.7,-2.9,-2.8,-2.5
21.12,-3,-2.9,-2.9,-2.5
22.08,-2.6,-3.3,-2.7,-2.9
23.04,-2.7,-3.1,-3,-2.9
24,-3.2,-3.3,-3.3,-3.5
24.96,-3.8,-4.1,-3.8,-4.2
25.92,-4.2,-4.1,-4.3,-4.5
26.88,-3.2,-2.6,-2.6,-2.8
27.84,-2.8,-2.9,-3.1,-3
28.8,-3.9,-4,-3.5,-4
29.76,-3.3,-4,-3.3,-3.7
30.72,-3,-3,-2.8,-2.9
31.68,-3.1,-3.1,-3.2,-3.4
32.64,-3.2,-3.3,-3.4,-3.2
33.6,-2.9,-2.8,-2.6,-2.6
34.56,-3.4,-3.8,-3.5,-3.5
35.52,-3.1,-2.8,-2.8,-3.1
36.48,-3.2,-3.3,-3,-3.1
37.44,-3.6,-3.2,-2.8,-3.1
38.4,-3.4,-2.8,-2.6,-2.8
39.36,-2.7,-2.6,-2.6,-2.4
40.32,-3.5,-3.4,-3,-3.2
41.28,-3.1,-3,-2.7,-3
42.24,-3,-3.1,-2.9,-3
43.2,-3.1,-2.8,-2.8,-2.9
44.16,-3.3,-4.3,-3.8,-3.8
45.12,-2.8,-3.1,-3,-3
46.08,-3.1,-3.2,-3.3,-3.4
47.04,-3.2,-3.1,-3,-3.5
